label,class name,amazon,dslr,webcam
0,back pack,92,12,29
1,bike,82,21,21
2,calculator,94,12,31
3,headphones,99,13,27
4,keyboard,100,10,27
5,laptop computer,100,24,30
6,monitor,99,22,43
7,mouse,100,12,30
8,mug,94,8,27
9,projector,98,23,30
10,bike helmet,72,24,28
11,bookcase,82,12,12
12,bottle,36,16,16
13,desk chair,91,13,40
14,desk lamp,97,14,18
15,desktop computer,97,15,21
16,file cabinet,81,15,19
17,letter tray,98,16,19
18,mobile phone,100,31,30
19,paper notebook,96,10,28
20,pen,95,10,32
21,phone,93,13,16
22,printer,100,15,20
23,punchers,98,18,27
24,ring binder,90,10,40
25,ruler,75,7,11
26,scissors,100,18,25
27,speaker,99,26,30
28,stapler,99,21,24
29,tape dispenser,96,22,23
30,trash can,64,15,21
total,,2817,498,795
