dataset,n_share,n_source_private,method,step,OA,AA,Closed-set OA,Closed-set AA
office31,31,0,SO,final,80.74,80.22,91.44,90.96
office31,31,0,DANCE,final,76.16,75.76,87.69,87.38
office31,31,0,OVANet,final,74.85,74.64,91.4,90.94
office31,31,0,UniOT,final,57.9,59.95,92.14,92.36
office31,31,0,ClipCrossModel,final,83.54,83.21,93.24,93.11
office31,31,0,ClipZeroShot,final,82.36,82.09,87.69,87.54
office31,31,0,UB2DA,final,10.99,10.26,87.75,87.6
office31,31,0,debug,final,50.65,50.29,87.77,87.61
office31,31,0,debug0.3,final,84.69,84.44,87.93,87.73
office31,31,0,WiSE-FT,final,48.24,47.87,92.3,91.91
officehome,65,0,SO,final,59.18,58.12,83.55,82.89
officehome,65,0,DANCE,final,55.65,55.42,81.74,81.91
officehome,65,0,OVANet,final,65.4,64.65,83.52,82.86
officehome,65,0,UniOT,final,57.38,59.27,85.5,85.03
officehome,65,0,ClipCrossModel,final,63.67,62.65,86.95,86.31
officehome,65,0,ClipZeroShot,final,54.93,56.02,89.08,88.44
officehome,65,0,UB2DA,final,1.58,1.79,89.21,88.57
officehome,65,0,debug,final,31.38,32.07,89.28,88.63
officehome,65,0,debug0.3,final,78.41,77.33,89.66,89.02
officehome,65,0,WiSE-FT,final,13.87,13.64,87.28,86.68
visda,12,0,SO,final,48.86,55.31,76.66,80.28
visda,12,0,DANCE,final,51.14,58.08,67.86,74.75
visda,12,0,OVANet,final,39.04,43.55,76.68,80.3
visda,12,0,UniOT,final,63.06,71.62,84.79,87.85
visda,12,0,ClipCrossModel,final,56.12,62.08,81.15,84.52
visda,12,0,ClipZeroShot,final,63.14,66.75,87.56,90.14
visda,12,0,UB2DA,final,3.33,5.97,87.57,90.16
visda,12,0,debug,final,34.12,39.89,87.58,90.17
visda,12,0,debug0.3,final,69.18,73.24,88.05,90.62
visda,12,0,WiSE-FT,final,24.05,30.05,81.45,84.79
