dataset,n_share,n_source_private,method,source,target,OA,AA,Closed-set OA,Closed-set AA
office31,31,0,AutoDistill,amazon,dslr,72.89,74.21,78.11,79.01
office31,31,0,AutoDistill,amazon,webcam,71.82,71.46,78.24,78.32
office31,31,0,AutoDistill,dslr,amazon,74.24,73.89,81.36,81.13
office31,31,0,AutoDistill,dslr,webcam,71.87,71.48,78.28,78.34
office31,31,0,AutoDistill,webcam,amazon,74.87,74.49,81.42,81.19
office31,31,0,AutoDistill,webcam,dslr,74.1,75.52,78.11,79.01
officehome,65,0,AutoDistill,Art,Clipart,54.3,53.19,69.81,69.6
officehome,65,0,AutoDistill,Art,Product,86.45,85.71,90.07,89.67
officehome,65,0,AutoDistill,Art,RealWorld,85.62,83.51,90.83,89.11
officehome,65,0,AutoDistill,Clipart,Art,70.44,65.53,85.44,81.88
officehome,65,0,AutoDistill,Clipart,Product,86.06,85.26,90.04,89.63
officehome,65,0,AutoDistill,Clipart,RealWorld,84.94,82.8,90.74,89.02
officehome,65,0,AutoDistill,Product,Art,64.03,59.5,85.17,81.75
officehome,65,0,AutoDistill,Product,Clipart,47.2,46.25,69.23,69.04
officehome,65,0,AutoDistill,Product,RealWorld,81.33,78.95,90.7,88.95
officehome,65,0,AutoDistill,RealWorld,Art,65.49,60.78,85.21,81.76
officehome,65,0,AutoDistill,RealWorld,Clipart,49.26,48.27,69.48,69.28
officehome,65,0,AutoDistill,RealWorld,Product,83.69,82.66,90.0,89.57
visda,12,0,AutoDistill,syn,real,66.43,70.11,87.31,89.75
domainnet,345,0,AutoDistill,painting,real,73.77,72.37,85.24,84.4
domainnet,345,0,AutoDistill,painting,sketch,45.74,43.91,66.33,65.42
domainnet,345,0,AutoDistill,real,painting,47.85,41.45,70.35,64.93
domainnet,345,0,AutoDistill,real,sketch,45.16,43.54,66.46,65.67
domainnet,345,0,AutoDistill,sketch,painting,48.1,41.65,70.34,64.92
domainnet,345,0,AutoDistill,sketch,real,73.88,72.53,85.42,84.64
