dataset,n_share,n_source_private,method,source,target,OA,AA,Closed-set OA,Closed-set AA
office31,31,0,SO,amazon,dslr,75.3,76.99,93.37,93.65
office31,31,0,SO,amazon,webcam,74.55,71.98,95.14,94.8
office31,31,0,SO,dslr,amazon,70.05,68.54,81.03,79.6
office31,31,0,SO,dslr,webcam,96.94,97.64,99.66,99.76
office31,31,0,SO,webcam,amazon,68.61,66.94,79.65,78.08
office31,31,0,SO,webcam,dslr,99.0,99.26,99.8,99.88
office31,31,0,DANCE,amazon,dslr,71.82,73.29,89.56,90.31
office31,31,0,DANCE,amazon,webcam,64.82,63.14,85.7,85.75
office31,31,0,DANCE,dslr,amazon,64.31,62.46,76.3,74.78
office31,31,0,DANCE,dslr,webcam,97.86,98.4,99.75,99.81
office31,31,0,DANCE,webcam,amazon,58.7,57.63,74.81,73.64
office31,31,0,DANCE,webcam,dslr,99.46,99.64,100.0,100.0
office31,31,0,OVANet,amazon,dslr,70.41,72.5,93.31,93.59
office31,31,0,OVANet,amazon,webcam,66.29,64.35,94.93,94.67
office31,31,0,OVANet,dslr,amazon,59.31,58.02,81.04,79.61
office31,31,0,OVANet,dslr,webcam,95.39,96.26,99.66,99.76
office31,31,0,OVANet,webcam,amazon,59.32,58.07,79.64,78.11
office31,31,0,OVANet,webcam,dslr,98.39,98.67,99.8,99.88
office31,31,0,UniOT,amazon,dslr,55.49,58.03,92.44,93.17
office31,31,0,UniOT,amazon,webcam,58.03,56.8,94.17,94.72
office31,31,0,UniOT,dslr,amazon,55.17,53.8,84.17,83.77
office31,31,0,UniOT,dslr,webcam,64.49,69.88,98.78,99.05
office31,31,0,UniOT,webcam,amazon,54.53,53.23,84.32,84.16
office31,31,0,UniOT,webcam,dslr,59.71,67.96,98.93,99.29
office31,31,0,WiSE-FT,amazon,dslr,30.66,31.89,93.24,93.59
office31,31,0,WiSE-FT,amazon,webcam,27.0,25.87,92.91,92.44
office31,31,0,WiSE-FT,dslr,amazon,40.05,39.04,84.76,83.51
office31,31,0,WiSE-FT,dslr,webcam,74.09,74.62,98.99,99.09
office31,31,0,WiSE-FT,webcam,amazon,37.46,36.65,84.2,83.19
office31,31,0,WiSE-FT,webcam,dslr,80.19,79.13,99.67,99.66
office31,31,0,ClipCrossModel,amazon,dslr,78.11,79.87,94.98,95.27
office31,31,0,ClipCrossModel,amazon,webcam,78.91,77.27,94.8,94.44
office31,31,0,ClipCrossModel,dslr,amazon,75.45,73.99,85.56,85.16
office31,31,0,ClipCrossModel,dslr,webcam,96.73,97.46,99.75,99.81
office31,31,0,ClipCrossModel,webcam,amazon,73.68,72.03,84.52,84.12
office31,31,0,ClipCrossModel,webcam,dslr,98.39,98.65,99.8,99.88
office31,31,0,ClipZeroShot,amazon,dslr,0.0,0.0,88.15,88.96
office31,31,0,ClipZeroShot,amazon,webcam,0.0,0.0,89.18,88.16
office31,31,0,ClipZeroShot,dslr,amazon,0.0,0.0,85.73,85.5
office31,31,0,ClipZeroShot,dslr,webcam,0.0,0.0,89.18,88.16
office31,31,0,ClipZeroShot,webcam,amazon,0.0,0.0,85.73,85.5
office31,31,0,ClipZeroShot,webcam,dslr,0.0,0.0,88.15,88.96
office31,31,0,ClipDistill,amazon,dslr,84.94,85.52,88.35,89.07
office31,31,0,ClipDistill,amazon,webcam,86.67,85.66,89.43,88.35
office31,31,0,ClipDistill,dslr,amazon,82.45,82.15,86.0,85.78
office31,31,0,ClipDistill,dslr,webcam,86.67,85.66,89.43,88.35
office31,31,0,ClipDistill,webcam,amazon,82.45,82.15,86.0,85.78
office31,31,0,ClipDistill,webcam,dslr,84.94,85.52,88.35,89.07
office31,31,0,ClipDistillTemp1.0,amazon,dslr,0.0,0.0,88.15,88.96
office31,31,0,ClipDistillTemp1.0,amazon,webcam,0.0,0.0,89.18,88.16
office31,31,0,ClipDistillTemp1.0,dslr,amazon,0.0,0.0,85.72,85.49
office31,31,0,ClipDistillTemp1.0,dslr,webcam,0.0,0.0,89.18,88.16
office31,31,0,ClipDistillTemp1.0,webcam,amazon,0.0,0.0,85.73,85.5
office31,31,0,ClipDistillTemp1.0,webcam,dslr,0.0,0.0,88.15,88.96
office31,31,0,AutoDistill,amazon,dslr,81.53,81.97,88.15,88.96
office31,31,0,AutoDistill,amazon,webcam,83.02,81.82,89.31,88.27
office31,31,0,AutoDistill,dslr,amazon,82.42,82.12,86.0,85.78
office31,31,0,AutoDistill,dslr,webcam,86.67,85.66,89.43,88.35
office31,31,0,AutoDistill,webcam,amazon,82.7,82.41,86.01,85.8
office31,31,0,AutoDistill,webcam,dslr,85.54,86.07,88.35,89.07
office31,31,0,Auto_only_cal,amazon,dslr,82.13,82.52,88.15,88.96
office31,31,0,Auto_only_cal,amazon,webcam,83.52,82.41,89.18,88.16
office31,31,0,Auto_only_cal,dslr,amazon,83.14,82.91,85.73,85.5
office31,31,0,Auto_only_cal,dslr,webcam,86.67,85.71,89.18,88.16
office31,31,0,Auto_only_cal,webcam,amazon,83.49,83.25,85.73,85.5
office31,31,0,Auto_only_cal,webcam,dslr,85.34,85.97,88.15,88.96
office31,31,0,Auto_wo_iid,amazon,dslr,69.48,70.34,88.15,88.96
office31,31,0,Auto_wo_iid,amazon,webcam,73.25,70.64,89.31,88.27
office31,31,0,Auto_wo_iid,dslr,amazon,80.0,79.69,85.76,85.55
office31,31,0,Auto_wo_iid,dslr,webcam,82.89,81.72,89.31,88.27
