dataset,n_share,n_source_private,method,OA,AA,Closed-set OA,Closed-set AA
office31,31,0,SO,80.74,80.22,91.44,90.96
office31,31,0,DANCE,76.16,75.76,87.69,87.38
office31,31,0,OVANet,74.85,74.64,91.4,90.94
office31,31,0,UniOT,57.9,59.95,92.14,92.36
office31,31,0,WiSE-FT,48.24,47.87,92.3,91.91
office31,31,0,ClipCrossModel,83.54,83.21,93.24,93.11
office31,31,0,ClipZeroShot,0.0,0.0,87.69,87.54
office31,31,0,ClipDistill,84.69,84.44,87.93,87.73
office31,31,0,ClipDistillTemp1.0,0.0,0.0,87.68,87.54
office31,31,0,AutoDistill,83.65,83.34,87.88,87.7
office31,31,0,Auto_only_cal,84.05,83.8,87.69,87.54
office31,31,0,Auto_wo_iid,78.03,77.52,87.76,87.61
office31,31,0,Auto_wo_nll,75.47,74.77,87.74,87.59
office31,31,0,Auto_wo_ood,87.24,86.96,88.18,87.92
officehome,65,0,SO,59.18,58.12,83.55,82.89
officehome,65,0,DANCE,55.65,55.42,81.74,81.91
officehome,65,0,OVANet,65.4,64.65,83.52,82.86
officehome,65,0,UniOT,57.38,59.27,85.5,85.03
officehome,65,0,WiSE-FT,13.87,13.64,87.28,86.68
officehome,65,0,ClipCrossModel,63.67,62.65,86.95,86.31
officehome,65,0,ClipZeroShot,0.0,0.0,89.08,88.44
officehome,65,0,ClipDistill,78.41,77.33,89.66,89.02
officehome,65,0,ClipDistillTemp1.0,0.0,0.0,89.08,88.44
officehome,65,0,AutoDistill,78.8,77.76,89.71,89.06
officehome,65,0,Auto_only_cal,81.38,80.58,89.08,88.44
officehome,65,0,Auto_wo_iid,71.1,70.47,89.51,88.85
officehome,65,0,Auto_wo_nll,65.07,64.86,89.43,88.79
officehome,65,0,Auto_wo_ood,84.48,83.42,89.99,89.34
visda,12,0,SO,48.86,55.31,76.66,80.28
visda,12,0,DANCE,51.14,58.08,67.86,74.75
visda,12,0,OVANet,39.04,43.55,76.68,80.3
visda,12,0,UniOT,63.06,71.62,84.79,87.85
visda,12,0,WiSE-FT,24.05,30.05,81.45,84.79
visda,12,0,ClipCrossModel,56.12,62.08,81.15,84.52
visda,12,0,ClipZeroShot,0.0,0.0,87.56,90.14
visda,12,0,ClipDistill,69.18,73.24,88.05,90.62
visda,12,0,ClipDistillTemp1.0,0.0,0.0,87.56,90.13
visda,12,0,AutoDistill,70.18,74.03,88.11,90.68
visda,12,0,Auto_only_cal,72.28,76.08,87.56,90.14
visda,12,0,Auto_wo_iid,51.46,57.84,87.63,90.23
visda,12,0,Auto_wo_nll,48.34,54.8,87.61,90.21
visda,12,0,Auto_wo_ood,75.07,78.16,88.56,91.03
domainnet,345,0,SO,39.39,38.27,71.26,70.29
domainnet,345,0,DANCE,37.88,37.56,71.66,71.45
domainnet,345,0,OVANet,58.09,57.22,71.37,70.46
domainnet,345,0,UniOT,61.19,63.72,73.85,73.34
domainnet,345,0,WiSE-FT,0.26,0.3,75.74,75.09
domainnet,345,0,ClipCrossModel,36.88,36.2,75.57,74.87
domainnet,345,0,ClipZeroShot,0.0,0.0,79.48,79.35
domainnet,345,0,ClipDistill,52.39,51.5,80.18,79.46
domainnet,345,0,ClipDistillTemp1.0,0.0,0.0,79.48,79.35
domainnet,345,0,AutoDistill,62.25,60.16,80.33,79.4
domainnet,345,0,Auto_only_cal,75.07,74.93,79.49,79.35
domainnet,345,0,Auto_wo_iid,58.68,57.21,80.28,79.44
domainnet,345,0,Auto_wo_nll,56.25,55.02,80.24,79.44
domainnet,345,0,Auto_wo_ood,64.49,61.85,80.39,79.35
