dataset,n_share,n_source_private,method,source,target,OA,AA,Closed-set OA,Closed-set AA
office31,31,0,SO,amazon,dslr,0.59,0.54,0.28,0.23
office31,31,0,SO,amazon,webcam,0.06,0.1,0.26,0.24
office31,31,0,SO,dslr,amazon,0.19,0.19,0.08,0.08
office31,31,0,SO,dslr,webcam,0.16,0.15,0.06,0.04
office31,31,0,SO,webcam,amazon,0.24,0.25,0.09,0.14
office31,31,0,SO,webcam,dslr,0.0,0.0,0.0,0.0
office31,31,0,DANCE,amazon,dslr,2.06,1.1,0.28,0.28
office31,31,0,DANCE,amazon,webcam,0.65,0.16,0.57,0.64
office31,31,0,DANCE,dslr,amazon,1.54,1.66,0.32,0.37
office31,31,0,DANCE,dslr,webcam,0.0,0.0,0.0,0.0
office31,31,0,DANCE,webcam,amazon,3.61,3.83,0.92,1.12
office31,31,0,DANCE,webcam,dslr,0.47,0.32,0.0,0.0
office31,31,0,OVANet,amazon,dslr,1.34,0.73,0.25,0.2
office31,31,0,OVANet,amazon,webcam,0.54,0.3,0.16,0.12
office31,31,0,OVANet,dslr,amazon,0.97,1.13,0.09,0.09
office31,31,0,OVANet,dslr,webcam,0.06,0.05,0.06,0.04
office31,31,0,OVANet,webcam,amazon,0.62,0.66,0.15,0.17
office31,31,0,OVANet,webcam,dslr,0.0,0.0,0.0,0.0
office31,31,0,UniOT,amazon,dslr,2.3,2.06,0.96,1.08
office31,31,0,UniOT,amazon,webcam,1.24,1.14,0.99,1.05
office31,31,0,UniOT,dslr,amazon,1.03,0.89,0.56,0.71
office31,31,0,UniOT,dslr,webcam,0.84,1.5,0.62,0.45
office31,31,0,UniOT,webcam,amazon,0.53,0.88,0.3,0.43
office31,31,0,UniOT,webcam,dslr,3.66,3.44,0.34,0.23
office31,31,0,WiSE-FT,amazon,dslr,0.19,0.31,0.19,0.22
office31,31,0,WiSE-FT,amazon,webcam,0.16,0.19,0.42,0.41
office31,31,0,WiSE-FT,dslr,amazon,0.14,0.14,0.07,0.16
office31,31,0,WiSE-FT,dslr,webcam,0.18,0.26,0.0,0.0
office31,31,0,WiSE-FT,webcam,amazon,0.28,0.29,0.1,0.16
office31,31,0,WiSE-FT,webcam,dslr,0.09,0.09,0.09,0.15
