dataset,n_share,n_source_private,method,source,target,OA,AA,Closed-set OA,Closed-set AA
office31,31,0,SO,amazon,dslr,85.88,85.49,91.97,91.66
office31,31,0,SO,amazon,webcam,83.56,83.35,92.49,92.8
office31,31,0,SO,dslr,amazon,68.52,67.23,77.77,76.93
office31,31,0,SO,dslr,webcam,99.2,99.38,99.54,99.67
office31,31,0,SO,webcam,amazon,69.93,68.51,78.89,77.56
office31,31,0,SO,webcam,dslr,100.0,100.0,100.0,100.0
office31,31,0,DANCE,amazon,dslr,84.81,85.23,89.49,89.66
office31,31,0,DANCE,amazon,webcam,83.98,83.49,90.69,90.24
office31,31,0,DANCE,dslr,amazon,61.42,60.16,70.1,68.92
office31,31,0,DANCE,dslr,webcam,99.25,99.28,99.62,99.64
office31,31,0,DANCE,webcam,amazon,63.24,62.17,72.06,70.98
office31,31,0,DANCE,webcam,dslr,99.4,99.69,99.87,99.93
office31,31,0,OVANet,amazon,dslr,88.35,88.03,91.97,91.66
office31,31,0,OVANet,amazon,webcam,83.9,83.27,92.49,92.77
office31,31,0,OVANet,dslr,amazon,62.79,61.73,77.78,76.93
office31,31,0,OVANet,dslr,webcam,95.35,96.0,99.54,99.67
office31,31,0,OVANet,webcam,amazon,65.06,64.01,78.8,77.47
office31,31,0,OVANet,webcam,dslr,100.0,100.0,100.0,100.0
office31,31,0,UniOT,amazon,dslr,59.97,63.33,91.63,92.53
office31,31,0,UniOT,amazon,webcam,58.24,59.42,92.79,94.21
office31,31,0,UniOT,dslr,amazon,52.95,51.9,81.24,80.42
office31,31,0,UniOT,dslr,webcam,75.56,79.87,98.7,99.01
office31,31,0,UniOT,webcam,amazon,54.15,52.81,81.74,80.76
office31,31,0,UniOT,webcam,dslr,78.78,85.29,100.0,100.0
office31,31,0,ClipDistill,amazon,dslr,85.14,85.82,88.15,88.96
office31,31,0,ClipDistill,amazon,webcam,86.67,85.62,89.52,88.41
office31,31,0,ClipDistill,dslr,amazon,83.04,82.81,86.62,86.44
office31,31,0,ClipDistill,dslr,webcam,86.67,85.62,89.52,88.41
office31,31,0,ClipDistill,webcam,amazon,83.04,82.81,86.62,86.44
office31,31,0,ClipDistill,webcam,dslr,85.14,85.82,88.15,88.96
office31,31,0,AutoDistill,amazon,dslr,79.45,79.24,91.97,91.66
office31,31,0,AutoDistill,amazon,webcam,73.08,72.76,92.49,92.8
office31,31,0,AutoDistill,dslr,amazon,53.5,52.28,77.67,76.81
office31,31,0,AutoDistill,dslr,webcam,93.58,94.26,99.54,99.67
office31,31,0,AutoDistill,webcam,amazon,54.61,53.43,78.83,77.51
office31,31,0,AutoDistill,webcam,dslr,99.2,99.35,100.0,100.0
officehome,65,0,SO,Art,Clipart,58.44,59.36,72.02,72.75
officehome,65,0,SO,Art,Product,73.52,74.0,86.92,86.68
officehome,65,0,SO,Art,RealWorld,78.98,77.72,88.95,88.06
officehome,65,0,SO,Clipart,Art,58.32,56.65,82.24,80.02
officehome,65,0,SO,Clipart,Product,72.19,71.85,86.94,86.7
officehome,65,0,SO,Clipart,RealWorld,68.97,68.49,87.58,87.02
officehome,65,0,SO,Product,Art,51.81,52.6,76.03,74.36
officehome,65,0,SO,Product,Clipart,50.42,51.14,67.13,67.27
officehome,65,0,SO,Product,RealWorld,74.46,73.53,86.8,85.92
officehome,65,0,SO,RealWorld,Art,69.96,69.0,84.05,81.76
officehome,65,0,SO,RealWorld,Clipart,59.76,59.9,71.87,72.15
officehome,65,0,SO,RealWorld,Product,85.9,86.39,92.3,92.25
officehome,65,0,DANCE,Art,Clipart,56.83,56.97,72.06,72.61
officehome,65,0,DANCE,Art,Product,66.87,67.65,81.96,82.45
officehome,65,0,DANCE,Art,RealWorld,79.27,78.01,88.46,87.49
officehome,65,0,DANCE,Clipart,Art,55.5,54.79,78.73,77.55
officehome,65,0,DANCE,Clipart,Product,69.58,69.48,83.08,83.08
officehome,65,0,DANCE,Clipart,RealWorld,68.14,67.41,85.43,84.79
officehome,65,0,DANCE,Product,Art,44.2,46.53,68.82,70.36
officehome,65,0,DANCE,Product,Clipart,42.99,44.19,65.96,66.92
officehome,65,0,DANCE,Product,RealWorld,72.48,71.55,84.9,84.05
officehome,65,0,DANCE,RealWorld,Art,69.76,68.64,83.6,81.77
officehome,65,0,DANCE,RealWorld,Clipart,59.79,59.15,75.91,75.61
officehome,65,0,DANCE,RealWorld,Product,86.09,86.97,92.27,92.54
officehome,65,0,OVANet,Art,Clipart,53.33,54.35,71.94,72.66
officehome,65,0,OVANet,Art,Product,78.37,78.3,86.84,86.59
officehome,65,0,OVANet,Art,RealWorld,84.72,83.43,89.0,88.1
officehome,65,0,OVANet,Clipart,Art,77.75,74.66,82.04,79.73
officehome,65,0,OVANet,Clipart,Product,82.86,82.64,86.99,86.76
officehome,65,0,OVANet,Clipart,RealWorld,85.71,84.98,87.54,86.98
officehome,65,0,OVANet,Product,Art,64.07,61.55,75.96,74.24
officehome,65,0,OVANet,Product,Clipart,38.39,39.19,67.03,67.24
officehome,65,0,OVANet,Product,RealWorld,82.11,80.72,86.73,85.84
officehome,65,0,OVANet,RealWorld,Art,73.64,70.67,84.16,81.9
officehome,65,0,OVANet,RealWorld,Clipart,50.63,51.02,71.72,71.94
officehome,65,0,OVANet,RealWorld,Product,85.41,85.63,92.36,92.32
officehome,65,0,UniOT,Art,Clipart,47.23,50.15,75.71,76.5
officehome,65,0,UniOT,Art,Product,53.02,55.39,85.66,85.87
officehome,65,0,UniOT,Art,RealWorld,64.26,63.4,89.66,88.69
officehome,65,0,UniOT,Clipart,Art,47.59,52.6,81.13,80.18
officehome,65,0,UniOT,Clipart,Product,56.53,57.93,87.53,87.66
officehome,65,0,UniOT,Clipart,RealWorld,60.07,59.99,88.73,88.0
officehome,65,0,UniOT,Product,Art,39.88,45.47,72.76,73.27
officehome,65,0,UniOT,Product,Clipart,41.51,43.98,70.88,71.8
