dataset,n_share,n_source_private,method,OA,AA,Closed-set OA,Closed-set AA
office31,31,0,SO,84.52,83.99,90.11,89.77
office31,31,0,DANCE,82.02,81.67,86.97,86.56
office31,31,0,OVANet,82.58,82.17,90.1,89.75
office31,31,0,UniOT,63.28,65.44,91.02,91.16
office31,31,0,ClipDistill,84.95,84.75,88.1,87.94
office31,31,0,AutoDistill,75.57,75.22,90.08,89.74
officehome,65,0,SO,66.89,66.72,81.9,81.24
officehome,65,0,DANCE,64.29,64.28,80.1,79.93
officehome,65,0,OVANet,71.42,70.6,81.86,81.19
officehome,65,0,UniOT,53.47,55.81,82.93,82.79
officehome,65,0,ClipDistill,79.17,78.22,90.15,89.5
officehome,65,0,AutoDistill,62.68,62.64,81.84,81.18
visda,12,0,SO,39.27,42.45,66.98,70.88
visda,12,0,DANCE,32.06,34.87,52.94,56.72
visda,12,0,OVANet,51.51,56.91,67.0,70.89
visda,12,0,UniOT,32.99,39.31,64.22,71.77
visda,12,0,ClipDistill,62.29,67.7,86.8,89.69
visda,12,0,AutoDistill,16.44,17.38,66.69,70.57
domainnet,345,0,SO,52.16,51.66,68.94,68.27
domainnet,345,0,DANCE,52.02,51.59,69.73,69.23
domainnet,345,0,OVANet,59.85,58.92,68.97,68.29
domainnet,345,0,UniOT,50.59,54.0,69.08,69.44
domainnet,345,0,ClipDistill,54.58,54.43,79.7,79.35
domainnet,345,0,AutoDistill,60.0,59.39,69.19,68.47
