dataset,n_share,n_source_private,method,source,target,OA,AA,Closed-set OA,Closed-set AA
office31,31,0,SO,amazon,dslr,0.09,0.06,0.16,0.11
office31,31,0,SO,amazon,webcam,0.21,0.18,0.16,0.14
office31,31,0,SO,dslr,amazon,0.54,0.53,0.36,0.18
office31,31,0,SO,dslr,webcam,0.16,0.1,0.12,0.07
office31,31,0,SO,webcam,amazon,0.3,0.33,0.17,0.12
office31,31,0,SO,webcam,dslr,0.0,0.0,0.0,0.0
office31,31,0,DANCE,amazon,dslr,0.34,0.48,0.53,0.67
office31,31,0,DANCE,amazon,webcam,0.24,0.21,0.31,0.28
office31,31,0,DANCE,dslr,amazon,3.23,3.33,2.32,2.42
office31,31,0,DANCE,dslr,webcam,0.0,0.0,0.0,0.0
office31,31,0,DANCE,webcam,amazon,2.37,2.37,1.39,1.42
office31,31,0,DANCE,webcam,dslr,0.0,0.0,0.09,0.05
office31,31,0,OVANet,amazon,dslr,0.16,0.22,0.16,0.11
office31,31,0,OVANet,amazon,webcam,0.62,0.34,0.06,0.02
office31,31,0,OVANet,dslr,amazon,1.53,1.68,0.28,0.08
office31,31,0,OVANet,dslr,webcam,0.1,0.08,0.12,0.07
office31,31,0,OVANet,webcam,amazon,0.37,0.49,0.28,0.21
office31,31,0,OVANet,webcam,dslr,0.0,0.0,0.0,0.0
office31,31,0,UniOT,amazon,dslr,0.62,0.94,1.23,1.2
office31,31,0,UniOT,amazon,webcam,1.82,1.83,0.57,0.42
office31,31,0,UniOT,dslr,amazon,0.68,0.94,0.48,0.42
office31,31,0,UniOT,dslr,webcam,1.36,0.64,0.24,0.19
office31,31,0,UniOT,webcam,amazon,0.53,0.52,0.26,0.3
office31,31,0,UniOT,webcam,dslr,5.76,3.81,0.0,0.0
office31,31,0,ClipDistill,amazon,dslr,0.0,0.0,0.0,0.0
office31,31,0,ClipDistill,amazon,webcam,0.1,0.1,0.06,0.07
office31,31,0,ClipDistill,dslr,amazon,0.07,0.07,0.03,0.03
office31,31,0,ClipDistill,dslr,webcam,0.1,0.1,0.06,0.07
office31,31,0,ClipDistill,webcam,amazon,0.07,0.07,0.03,0.03
office31,31,0,ClipDistill,webcam,dslr,0.0,0.0,0.0,0.0
office31,31,0,AutoDistill,amazon,dslr,0.19,0.11,0.16,0.11
office31,31,0,AutoDistill,amazon,webcam,0.37,0.33,0.16,0.14
office31,31,0,AutoDistill,dslr,amazon,0.37,0.4,0.25,0.07
office31,31,0,AutoDistill,dslr,webcam,0.18,0.21,0.12,0.07
office31,31,0,AutoDistill,webcam,amazon,0.64,0.65,0.15,0.12
office31,31,0,AutoDistill,webcam,dslr,0.16,0.25,0.0,0.0
officehome,65,0,SO,Art,Clipart,0.13,0.1,0.03,0.07
officehome,65,0,SO,Art,Product,0.06,0.07,0.04,0.04
officehome,65,0,SO,Art,RealWorld,0.04,0.03,0.04,0.04
officehome,65,0,SO,Clipart,Art,0.04,0.05,0.19,0.07
officehome,65,0,SO,Clipart,Product,0.06,0.04,0.07,0.09
officehome,65,0,SO,Clipart,RealWorld,0.08,0.09,0.11,0.1
officehome,65,0,SO,Product,Art,0.12,0.16,0.15,0.17
officehome,65,0,SO,Product,Clipart,0.21,0.18,0.22,0.2
officehome,65,0,SO,Product,RealWorld,0.05,0.05,0.08,0.08
officehome,65,0,SO,RealWorld,Art,0.1,0.06,0.09,0.18
officehome,65,0,SO,RealWorld,Clipart,0.12,0.14,0.19,0.14
officehome,65,0,SO,RealWorld,Product,0.03,0.03,0.03,0.04
officehome,65,0,DANCE,Art,Clipart,0.44,0.31,0.41,0.29
officehome,65,0,DANCE,Art,Product,0.74,0.62,0.27,0.25
officehome,65,0,DANCE,Art,RealWorld,0.11,0.1,0.18,0.17
officehome,65,0,DANCE,Clipart,Art,0.53,0.41,0.16,0.1
officehome,65,0,DANCE,Clipart,Product,0.88,1.04,0.05,0.06
officehome,65,0,DANCE,Clipart,RealWorld,0.22,0.2,0.11,0.1
officehome,65,0,DANCE,Product,Art,0.94,0.36,0.36,0.14
officehome,65,0,DANCE,Product,Clipart,0.59,0.81,0.07,0.21
officehome,65,0,DANCE,Product,RealWorld,0.49,0.41,0.21,0.19
officehome,65,0,DANCE,RealWorld,Art,0.15,0.32,0.07,0.14
officehome,65,0,DANCE,RealWorld,Clipart,0.22,0.17,0.21,0.08
officehome,65,0,DANCE,RealWorld,Product,0.4,0.29,0.29,0.24
officehome,65,0,OVANet,Art,Clipart,0.18,0.18,0.17,0.17
officehome,65,0,OVANet,Art,Product,0.09,0.09,0.05,0.07
officehome,65,0,OVANet,Art,RealWorld,0.08,0.13,0.01,0.0
officehome,65,0,OVANet,Clipart,Art,0.06,0.19,0.13,0.17
officehome,65,0,OVANet,Clipart,Product,0.13,0.08,0.11,0.07
officehome,65,0,OVANet,Clipart,RealWorld,0.19,0.21,0.14,0.11
officehome,65,0,OVANet,Product,Art,0.09,0.26,0.26,0.22
officehome,65,0,OVANet,Product,Clipart,0.14,0.14,0.29,0.29
officehome,65,0,OVANet,Product,RealWorld,0.16,0.14,0.06,0.09
officehome,65,0,OVANet,RealWorld,Art,0.35,0.37,0.11,0.1
officehome,65,0,OVANet,RealWorld,Clipart,0.17,0.22,0.09,0.06
officehome,65,0,OVANet,RealWorld,Product,0.3,0.3,0.07,0.08
officehome,65,0,UniOT,Art,Clipart,0.17,0.13,0.61,0.46
officehome,65,0,UniOT,Art,Product,0.76,0.71,0.28,0.23
officehome,65,0,UniOT,Art,RealWorld,0.5,0.4,0.35,0.29
officehome,65,0,UniOT,Clipart,Art,0.61,0.6,0.59,0.52
officehome,65,0,UniOT,Clipart,Product,0.85,0.62,0.35,0.19
officehome,65,0,UniOT,Clipart,RealWorld,0.91,0.61,0.14,0.28
officehome,65,0,UniOT,Product,Art,0.44,0.49,0.72,0.45
officehome,65,0,UniOT,Product,Clipart,0.39,0.22,0.58,0.69
officehome,65,0,UniOT,Product,RealWorld,0.14,0.21,0.31,0.26
officehome,65,0,UniOT,RealWorld,Art,1.17,1.11,0.61,0.26
officehome,65,0,UniOT,RealWorld,Clipart,0.54,0.32,0.5,0.36
officehome,65,0,UniOT,RealWorld,Product,0.31,0.03,0.56,0.3
officehome,65,0,ClipDistill,Art,Clipart,0.06,0.06,0.04,0.03
officehome,65,0,ClipDistill,Art,Product,0.04,0.06,0.02,0.03
officehome,65,0,ClipDistill,Art,RealWorld,0.05,0.05,0.03,0.05
officehome,65,0,ClipDistill,Clipart,Art,0.15,0.12,0.02,0.02
officehome,65,0,ClipDistill,Clipart,Product,0.04,0.06,0.02,0.03
officehome,65,0,ClipDistill,Clipart,RealWorld,0.05,0.05,0.03,0.05
officehome,65,0,ClipDistill,Product,Art,0.15,0.12,0.02,0.02
officehome,65,0,ClipDistill,Product,Clipart,0.06,0.06,0.04,0.03
officehome,65,0,ClipDistill,Product,RealWorld,0.05,0.05,0.03,0.05
officehome,65,0,ClipDistill,RealWorld,Art,0.15,0.12,0.02,0.02
officehome,65,0,ClipDistill,RealWorld,Clipart,0.06,0.06,0.04,0.03
officehome,65,0,ClipDistill,RealWorld,Product,0.04,0.06,0.02,0.03
