dataset,n_share,n_source_private,method,step,AA,H-score,H3-score,AUROC,OSCR
office31,10,10,SO,final,86.52,79.27,76.41,90.72,82.8
office31,10,10,DANCE,final,89.71,85.73,80.17,91.62,86.27
office31,10,10,OVANet,final,78.46,83.2,78.64,90.52,82.9
office31,10,10,UniOT,final,83.96,84.9,79.32,93.15,86.84
office31,10,10,ClipZeroShot,final,57.79,66.61,67.36,89.53,75.01
office31,10,10,ClipCrossModel,final,87.15,83.87,79.15,91.8,85.12
officehome,10,5,SO,final,71.67,69.41,66.66,82.2,67.72
officehome,10,5,DANCE,final,72.75,72.28,68.22,83.08,71.39
officehome,10,5,OVANet,final,67.65,71.85,68.3,82.76,67.91
officehome,10,5,UniOT,final,78.25,79.12,74.12,87.43,76.07
officehome,10,5,ClipZeroShot,final,65.61,73.12,69.21,87.8,80.54
officehome,10,5,ClipCrossModel,final,74.84,73.45,69.09,85.43,72.99
visda,6,3,SO,final,64.22,55.3,59.27,65.82,55.35
visda,6,3,DANCE,final,60.53,50.29,54.66,61.57,48.81
visda,6,3,OVANet,final,46.07,53.15,57.6,57.23,48.08
visda,6,3,UniOT,final,58.14,62.27,59.74,63.62,48.29
visda,6,3,ClipZeroShot,final,56.66,65.84,66.93,79.43,71.36
visda,6,3,ClipCrossModel,final,70.62,65.66,66.8,75.48,66.38
domainnet,150,50,SO,final,33.74,45.6,49.56,66.52,37.34
domainnet,150,50,DANCE,final,33.04,44.93,49.04,67.3,39.8
domainnet,150,50,OVANet,final,38.94,49.8,52.78,69.18,38.88
domainnet,150,50,UniOT,final,45.07,56.2,57.42,68.57,40.89
domainnet,150,50,ClipZeroShot,final,0.71,0.1,0.15,73.56,52.06
domainnet,150,50,ClipCrossModel,final,32.15,45.11,49.15,70.41,43.41
