dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
office31,10,10,SO,amazon,dslr,80.08,77.72,79.46,86.73,72.48
office31,10,10,SO,amazon,webcam,72.12,74.15,75.39,80.29,62.16
office31,10,10,SO,dslr,amazon,89.13,83.78,72.42,93.97,86.86
office31,10,10,SO,dslr,webcam,92.4,79.62,79.07,93.11,91.27
office31,10,10,SO,webcam,amazon,88.45,77.72,69.31,93.11,87.57
office31,10,10,SO,webcam,dslr,96.94,82.66,82.83,97.12,96.45
office31,10,10,DANCE,amazon,dslr,86.97,80.97,81.7,86.68,80.47
office31,10,10,DANCE,amazon,webcam,74.16,78.22,78.15,83.42,66.37
office31,10,10,DANCE,dslr,amazon,93.32,90.88,75.84,95.01,91.19
office31,10,10,DANCE,dslr,webcam,93.39,89.06,85.04,95.3,94.04
office31,10,10,DANCE,webcam,amazon,92.88,88.08,74.52,94.5,90.81
office31,10,10,DANCE,webcam,dslr,97.56,87.16,85.79,94.8,94.75
office31,10,10,OVANet,amazon,dslr,68.05,75.52,77.91,85.51,72.34
office31,10,10,OVANet,amazon,webcam,61.0,70.77,73.03,77.84,60.43
office31,10,10,OVANet,dslr,amazon,79.8,84.99,73.02,93.77,86.55
office31,10,10,OVANet,dslr,webcam,83.45,88.75,84.85,94.85,93.13
office31,10,10,OVANet,webcam,amazon,83.73,86.58,73.8,93.7,88.18
office31,10,10,OVANet,webcam,dslr,94.71,92.56,89.21,97.45,96.78
office31,10,10,UniOT,amazon,dslr,79.15,78.58,78.95,86.39,74.64
office31,10,10,UniOT,amazon,webcam,75.24,74.37,74.43,84.05,72.86
office31,10,10,UniOT,dslr,amazon,88.16,90.83,75.49,98.19,93.19
office31,10,10,UniOT,dslr,webcam,86.61,89.6,85.97,99.04,95.86
office31,10,10,UniOT,webcam,amazon,88.97,89.97,74.84,97.05,92.45
office31,10,10,UniOT,webcam,dslr,85.62,86.04,86.22,94.2,92.04
office31,10,10,ClipZeroShot,amazon,dslr,80.59,79.8,80.89,91.21,74.16
office31,10,10,ClipZeroShot,amazon,webcam,41.8,52.79,59.17,87.24,68.15
office31,10,10,ClipZeroShot,dslr,amazon,65.51,75.62,68.18,90.14,82.72
office31,10,10,ClipZeroShot,dslr,webcam,41.8,52.79,59.17,87.24,68.15
office31,10,10,ClipZeroShot,webcam,amazon,65.51,75.62,68.18,90.14,82.72
office31,10,10,ClipZeroShot,webcam,dslr,51.52,63.02,68.56,91.21,74.16
office31,10,10,ClipCrossModel,amazon,dslr,82.95,81.32,81.93,88.07,76.89
office31,10,10,ClipCrossModel,amazon,webcam,71.75,75.45,76.28,81.67,65.12
office31,10,10,ClipCrossModel,dslr,amazon,90.45,87.83,74.4,95.01,90.15
office31,10,10,ClipCrossModel,dslr,webcam,89.41,84.1,81.96,93.01,89.95
office31,10,10,ClipCrossModel,webcam,amazon,90.83,85.18,73.12,95.0,90.56
office31,10,10,ClipCrossModel,webcam,dslr,97.53,89.36,87.2,98.06,98.03
officehome,10,5,SO,Art,Clipart,48.47,55.84,52.32,68.01,38.38
officehome,10,5,SO,Art,Product,83.27,68.94,72.77,89.08,80.04
officehome,10,5,SO,Art,RealWorld,91.37,76.76,73.47,93.18,90.79
officehome,10,5,SO,Clipart,Art,63.91,70.64,64.82,79.55,62.37
officehome,10,5,SO,Clipart,Product,71.99,70.8,74.14,84.52,72.78
officehome,10,5,SO,Clipart,RealWorld,82.86,80.3,75.61,90.28,83.68
officehome,10,5,SO,Product,Art,65.33,69.56,64.21,79.99,56.53
officehome,10,5,SO,Product,Clipart,49.32,59.21,54.25,67.63,44.67
officehome,10,5,SO,Product,RealWorld,88.67,76.7,73.44,90.7,86.34
officehome,10,5,SO,RealWorld,Art,75.42,73.97,66.66,84.11,67.84
officehome,10,5,SO,RealWorld,Clipart,52.54,61.12,55.3,69.38,46.19
officehome,10,5,SO,RealWorld,Product,86.89,69.1,72.89,90.03,83.0
officehome,10,5,DANCE,Art,Clipart,51.54,61.65,55.59,73.83,49.74
