dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
office31,10,10,SO,amazon,dslr,0.05,0.29,0.2,0.17,0.43
office31,10,10,SO,amazon,webcam,0.14,0.27,0.19,0.28,0.29
office31,10,10,SO,dslr,amazon,0.08,0.02,0.01,0.03,0.04
office31,10,10,SO,dslr,webcam,0.11,0.27,0.18,0.02,0.18
office31,10,10,SO,webcam,amazon,0.15,0.23,0.12,0.03,0.07
office31,10,10,SO,webcam,dslr,0.06,0.49,0.33,0.04,0.04
office31,10,10,DANCE,amazon,dslr,0.0,0.0,0.0,0.19,0.45
office31,10,10,DANCE,amazon,webcam,0.23,0.14,0.1,0.33,0.51
office31,10,10,DANCE,dslr,amazon,0.04,0.11,0.05,0.06,0.06
office31,10,10,DANCE,dslr,webcam,0.46,0.28,0.17,0.42,0.34
office31,10,10,DANCE,webcam,amazon,0.08,0.11,0.05,0.03,0.12
office31,10,10,DANCE,webcam,dslr,0.17,1.2,0.78,0.13,0.13
office31,10,10,OVANet,amazon,dslr,0.38,0.46,0.33,0.02,0.33
office31,10,10,OVANet,amazon,webcam,0.3,0.25,0.18,0.15,0.29
office31,10,10,OVANet,dslr,amazon,0.22,0.13,0.06,0.14,0.22
office31,10,10,OVANet,dslr,webcam,1.02,0.6,0.37,0.15,0.15
office31,10,10,OVANet,webcam,amazon,0.17,0.16,0.08,0.06,0.13
office31,10,10,OVANet,webcam,dslr,0.38,0.41,0.25,0.04,0.04
office31,10,10,UniOT,amazon,dslr,1.91,2.08,2.38,2.38,2.2
office31,10,10,UniOT,amazon,webcam,1.35,1.88,1.35,1.14,1.66
office31,10,10,UniOT,dslr,amazon,0.65,0.4,0.42,0.09,0.31
office31,10,10,UniOT,dslr,webcam,2.48,1.56,2.64,0.1,0.72
office31,10,10,UniOT,webcam,amazon,0.89,1.03,1.23,0.6,0.47
office31,10,10,UniOT,webcam,dslr,1.36,0.48,0.38,0.48,0.66
office31,10,10,ClipZeroShot,amazon,dslr,0.0,0.0,0.0,0.0,0.0
office31,10,10,ClipZeroShot,amazon,webcam,0.0,0.0,0.0,0.0,0.0
office31,10,10,ClipZeroShot,dslr,amazon,0.0,0.0,0.0,0.0,0.0
office31,10,10,ClipZeroShot,dslr,webcam,0.0,0.0,0.0,0.0,0.0
office31,10,10,ClipZeroShot,webcam,amazon,0.0,0.0,0.0,0.0,0.0
office31,10,10,ClipZeroShot,webcam,dslr,0.0,0.0,0.0,0.0,0.0
office31,10,10,ClipCrossModel,amazon,dslr,0.22,0.33,0.23,0.29,0.26
office31,10,10,ClipCrossModel,amazon,webcam,0.35,0.1,0.07,0.17,0.37
office31,10,10,ClipCrossModel,dslr,amazon,0.05,0.06,0.03,0.01,0.01
office31,10,10,ClipCrossModel,dslr,webcam,0.03,0.2,0.13,0.04,0.04
office31,10,10,ClipCrossModel,webcam,amazon,0.13,0.05,0.03,0.01,0.1
office31,10,10,ClipCrossModel,webcam,dslr,0.02,0.16,0.1,0.02,0.02
officehome,10,5,SO,Art,Clipart,0.02,0.06,0.04,0.01,0.05
officehome,10,5,SO,Art,Product,0.09,0.08,0.06,0.04,0.04
officehome,10,5,SO,Art,RealWorld,0.06,0.06,0.04,0.04,0.04
officehome,10,5,SO,Clipart,Art,0.68,0.53,0.3,0.33,0.49
