dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
office31,10,10,AutoDistill,amazon,dslr,78.39,81.48,83.54,94.99,76.53
office31,10,10,AutoDistill,amazon,webcam,78.73,81.41,83.44,93.04,78.2
office31,10,10,AutoDistill,dslr,amazon,91.31,87.06,77.72,95.3,90.03
office31,10,10,AutoDistill,dslr,webcam,83.0,81.05,83.18,92.65,77.83
office31,10,10,AutoDistill,webcam,amazon,91.31,87.06,77.72,95.29,90.03
office31,10,10,AutoDistill,webcam,dslr,80.56,82.07,83.95,94.57,76.12
officehome,10,5,AutoDistill,Art,Clipart,80.03,81.27,74.49,86.87,77.93
officehome,10,5,AutoDistill,Art,Product,93.56,79.13,81.65,95.56,94.33
officehome,10,5,AutoDistill,Art,RealWorld,95.98,85.9,84.03,96.77,95.83
officehome,10,5,AutoDistill,Clipart,Art,86.95,87.93,77.72,94.86,92.06
officehome,10,5,AutoDistill,Clipart,Product,93.41,79.75,82.09,95.66,94.43
officehome,10,5,AutoDistill,Clipart,RealWorld,95.99,86.25,84.25,96.86,95.98
officehome,10,5,AutoDistill,Product,Art,81.32,86.98,77.23,95.19,92.23
officehome,10,5,AutoDistill,Product,Clipart,75.75,81.71,74.74,87.82,78.93
officehome,10,5,AutoDistill,Product,RealWorld,94.58,91.0,87.22,97.6,96.76
officehome,10,5,AutoDistill,RealWorld,Art,82.44,87.37,77.43,95.17,92.21
officehome,10,5,AutoDistill,RealWorld,Clipart,77.15,82.09,74.95,87.74,78.85
officehome,10,5,AutoDistill,RealWorld,Product,92.11,86.57,86.78,96.44,95.21
visda,6,3,AutoDistill,syn,real,82.22,82.11,81.79,88.58,82.11
domainnet,150,50,AutoDistill,painting,real,76.36,74.38,76.78,84.25,74.56
domainnet,150,50,AutoDistill,painting,sketch,50.46,62.67,61.14,76.27,56.06
domainnet,150,50,AutoDistill,real,painting,46.64,60.95,62.99,79.1,61.59
domainnet,150,50,AutoDistill,real,sketch,48.71,62.13,60.8,77.11,56.68
domainnet,150,50,AutoDistill,sketch,painting,48.4,61.76,63.56,78.49,61.06
domainnet,150,50,AutoDistill,sketch,real,75.94,75.04,77.25,84.59,74.86
