dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
office31,10,10,AutoDistill,amazon,dslr,89.02,89.58,88.6,96.8,90.41
office31,10,10,AutoDistill,amazon,webcam,90.04,87.56,88.03,94.09,91.36
office31,10,10,AutoDistill,dslr,amazon,94.15,86.16,80.34,97.1,94.4
office31,10,10,AutoDistill,dslr,webcam,92.32,83.72,85.4,94.12,91.39
office31,10,10,AutoDistill,webcam,amazon,94.08,86.87,80.75,97.08,94.49
office31,10,10,AutoDistill,webcam,dslr,92.97,89.24,88.38,96.65,90.26
officehome,10,5,AutoDistill,Art,Clipart,83.87,82.88,79.21,88.88,81.45
officehome,10,5,AutoDistill,Art,Product,94.54,81.91,84.65,96.65,95.42
officehome,10,5,AutoDistill,Art,RealWorld,96.21,87.89,87.21,98.01,97.41
officehome,10,5,AutoDistill,Clipart,Art,88.71,89.74,81.47,96.27,94.18
officehome,10,5,AutoDistill,Clipart,Product,94.4,83.86,86.02,97.0,95.78
officehome,10,5,AutoDistill,Clipart,RealWorld,96.3,89.6,88.33,98.18,97.58
officehome,10,5,AutoDistill,Product,Art,83.84,88.55,80.82,96.5,93.84
officehome,10,5,AutoDistill,Product,Clipart,79.66,84.57,80.23,89.69,82.17
officehome,10,5,AutoDistill,Product,RealWorld,94.42,93.33,90.71,98.44,97.95
officehome,10,5,AutoDistill,RealWorld,Art,84.86,88.85,80.98,96.47,93.81
officehome,10,5,AutoDistill,RealWorld,Clipart,81.18,84.98,80.47,89.63,82.12
officehome,10,5,AutoDistill,RealWorld,Product,93.75,88.27,89.06,97.46,96.24
visda,6,3,AutoDistill,syn,real,81.63,84.66,85.04,89.12,82.58
domainnet,150,50,AutoDistill,painting,real,78.58,79.94,81.53,88.08,80.17
domainnet,150,50,AutoDistill,painting,sketch,59.64,70.83,67.56,82.42,65.93
domainnet,150,50,AutoDistill,real,painting,52.03,66.44,67.68,84.34,69.48
domainnet,150,50,AutoDistill,real,sketch,57.95,70.4,67.29,83.33,66.7
domainnet,150,50,AutoDistill,sketch,painting,53.4,67.11,68.15,83.86,69.07
domainnet,150,50,AutoDistill,sketch,real,77.83,80.51,81.93,88.57,80.61
