dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
office31,10,10,AutoDistill,amazon,dslr,0.0,0.0,0.0,0.0,0.0
office31,10,10,AutoDistill,amazon,webcam,0.0,0.0,0.0,0.0,0.0
office31,10,10,AutoDistill,dslr,amazon,0.0,0.03,0.02,0.0,0.0
office31,10,10,AutoDistill,dslr,webcam,0.0,0.0,0.0,0.0,0.0
office31,10,10,AutoDistill,webcam,amazon,0.0,0.03,0.02,0.0,0.0
office31,10,10,AutoDistill,webcam,dslr,0.0,0.0,0.0,0.0,0.0
officehome,10,5,AutoDistill,Art,Clipart,0.0,0.02,0.01,0.0,0.0
officehome,10,5,AutoDistill,Art,Product,0.0,0.0,0.0,0.0,0.0
officehome,10,5,AutoDistill,Art,RealWorld,0.0,0.02,0.01,0.0,0.0
officehome,10,5,AutoDistill,Clipart,Art,0.13,0.0,0.0,0.03,0.03
officehome,10,5,AutoDistill,Clipart,Product,0.01,0.56,0.4,0.08,0.08
officehome,10,5,AutoDistill,Clipart,RealWorld,0.02,0.42,0.28,0.04,0.04
officehome,10,5,AutoDistill,Product,Art,0.0,0.0,0.0,0.0,0.0
officehome,10,5,AutoDistill,Product,Clipart,0.0,0.0,0.0,0.0,0.0
officehome,10,5,AutoDistill,Product,RealWorld,0.0,0.01,0.0,0.0,0.0
officehome,10,5,AutoDistill,RealWorld,Art,0.0,0.0,0.0,0.0,0.0
officehome,10,5,AutoDistill,RealWorld,Clipart,0.05,0.03,0.02,0.0,0.0
officehome,10,5,AutoDistill,RealWorld,Product,0.0,0.01,0.01,0.0,0.0
visda,6,3,AutoDistill,syn,real,0.01,0.01,0.01,0.0,0.01
domainnet,150,50,AutoDistill,painting,real,0.03,0.03,0.02,0.01,0.01
domainnet,150,50,AutoDistill,painting,sketch,0.01,0.0,0.0,0.01,0.01
domainnet,150,50,AutoDistill,real,painting,0.04,0.03,0.02,0.01,0.03
domainnet,150,50,AutoDistill,real,sketch,0.03,0.02,0.01,0.01,0.01
domainnet,150,50,AutoDistill,sketch,painting,0.02,0.02,0.02,0.01,0.02
domainnet,150,50,AutoDistill,sketch,real,0.01,0.01,0.01,0.01,0.02
