dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
office31,10,10,SO,amazon,dslr,0.16,0.13,0.09,0.08,0.08
office31,10,10,SO,amazon,webcam,0.33,0.19,0.13,0.01,0.01
office31,10,10,SO,dslr,amazon,0.38,0.21,0.12,0.14,0.24
office31,10,10,SO,dslr,webcam,0.21,0.17,0.12,0.09,0.09
office31,10,10,SO,webcam,amazon,0.32,0.22,0.13,0.15,0.15
office31,10,10,SO,webcam,dslr,0.19,0.2,0.13,0.01,0.01
office31,10,10,DANCE,amazon,dslr,0.34,0.2,0.13,0.01,0.3
office31,10,10,DANCE,amazon,webcam,1.33,0.83,0.58,0.74,1.31
office31,10,10,DANCE,dslr,amazon,4.26,2.56,1.4,1.78,3.15
office31,10,10,DANCE,dslr,webcam,0.4,0.21,0.14,0.03,0.03
office31,10,10,DANCE,webcam,amazon,3.97,2.67,1.53,0.47,2.19
office31,10,10,DANCE,webcam,dslr,0.04,0.24,0.15,0.0,0.0
office31,10,10,OVANet,amazon,dslr,0.96,0.58,0.38,0.11,0.11
office31,10,10,OVANet,amazon,webcam,0.96,0.63,0.44,0.2,0.45
office31,10,10,OVANet,dslr,amazon,3.33,2.09,1.17,0.19,0.2
office31,10,10,OVANet,dslr,webcam,0.0,0.0,0.0,0.02,0.02
office31,10,10,OVANet,webcam,amazon,0.38,0.21,0.12,0.23,0.26
office31,10,10,OVANet,webcam,dslr,0.0,0.0,0.0,0.01,0.01
office31,10,10,UniOT,amazon,dslr,2.91,1.64,0.7,3.02,2.68
office31,10,10,UniOT,amazon,webcam,1.38,1.23,0.48,0.61,0.4
office31,10,10,UniOT,dslr,amazon,0.92,1.58,1.23,1.32,1.57
office31,10,10,UniOT,dslr,webcam,0.26,1.79,2.03,1.15,0.95
office31,10,10,UniOT,webcam,amazon,0.67,0.95,1.17,1.04,1.24
office31,10,10,UniOT,webcam,dslr,0.55,0.61,0.34,0.59,0.64
office31,10,10,ClipCrossModel,amazon,dslr,0.07,0.39,0.25,0.16,0.17
office31,10,10,ClipCrossModel,amazon,webcam,0.2,0.32,0.22,0.07,0.07
office31,10,10,ClipCrossModel,dslr,amazon,0.02,0.11,0.06,0.01,0.01
office31,10,10,ClipCrossModel,dslr,webcam,0.14,0.3,0.2,0.01,0.01
office31,10,10,ClipCrossModel,webcam,amazon,0.01,0.05,0.03,0.01,0.01
office31,10,10,ClipCrossModel,webcam,dslr,0.04,0.24,0.16,0.0,0.0
office31,10,10,ClipZeroShot,amazon,dslr,0.0,0.0,0.0,0.0,0.0
office31,10,10,ClipZeroShot,amazon,webcam,0.0,0.0,0.0,0.0,0.0
office31,10,10,ClipZeroShot,dslr,amazon,0.0,0.0,0.0,0.0,0.0
office31,10,10,ClipZeroShot,dslr,webcam,0.0,0.0,0.0,0.0,0.0
office31,10,10,ClipZeroShot,webcam,amazon,0.0,0.0,0.0,0.0,0.0
office31,10,10,ClipZeroShot,webcam,dslr,0.0,0.0,0.0,0.0,0.0
office31,10,10,UB2DA,amazon,dslr,0.0,0.0,0.0,0.0,0.0
office31,10,10,UB2DA,amazon,webcam,0.0,0.0,0.0,0.0,0.0
office31,10,10,UB2DA,dslr,amazon,0.08,0.1,0.08,0.0,0.0
office31,10,10,UB2DA,dslr,webcam,0.0,0.0,0.0,0.0,0.0
office31,10,10,UB2DA,webcam,amazon,0.08,0.1,0.08,0.0,0.0
office31,10,10,UB2DA,webcam,dslr,0.0,0.0,0.0,0.0,0.0
office31,10,10,debug,amazon,dslr,0.0,0.0,0.0,0.0,0.0
office31,10,10,debug,amazon,webcam,0.0,0.0,0.0,0.0,0.0
office31,10,10,debug,dslr,amazon,0.04,0.03,0.02,0.01,0.01
office31,10,10,debug,dslr,webcam,0.0,0.0,0.0,0.0,0.0
office31,10,10,debug,webcam,amazon,0.04,0.03,0.02,0.0,0.0
office31,10,10,debug,webcam,dslr,0.0,0.0,0.0,0.0,0.0
office31,10,10,debug0.3,amazon,dslr,0.0,0.0,0.0,0.0,0.0
office31,10,10,debug0.3,amazon,webcam,0.14,0.06,0.04,0.0,0.0
office31,10,10,debug0.3,dslr,amazon,0.01,0.06,0.03,0.0,0.0
office31,10,10,debug0.3,dslr,webcam,0.14,0.06,0.04,0.0,0.0
office31,10,10,debug0.3,webcam,amazon,0.01,0.06,0.03,0.0,0.0
office31,10,10,debug0.3,webcam,dslr,0.0,0.0,0.0,0.0,0.0
office31,10,10,WiSE-FT,amazon,dslr,0.51,0.42,0.31,0.06,0.07
office31,10,10,WiSE-FT,amazon,webcam,0.11,0.1,0.08,0.05,0.05
office31,10,10,WiSE-FT,dslr,amazon,0.34,0.22,0.14,0.06,0.1
office31,10,10,WiSE-FT,dslr,webcam,0.26,0.17,0.11,0.04,0.04
office31,10,10,WiSE-FT,webcam,amazon,0.4,0.33,0.21,0.07,0.08
office31,10,10,WiSE-FT,webcam,dslr,0.62,0.37,0.24,0.0,0.3
officehome,10,5,SO,Art,Clipart,0.08,0.08,0.05,0.08,0.09
officehome,10,5,SO,Art,Product,0.1,0.07,0.05,0.05,0.09
officehome,10,5,SO,Art,RealWorld,0.1,0.02,0.01,0.06,0.06
officehome,10,5,SO,Clipart,Art,0.21,0.16,0.09,0.04,0.12
officehome,10,5,SO,Clipart,Product,0.14,0.23,0.16,0.11,0.11
officehome,10,5,SO,Clipart,RealWorld,0.06,0.12,0.08,0.09,0.06
officehome,10,5,SO,Product,Art,0.16,0.14,0.09,0.05,0.1
officehome,10,5,SO,Product,Clipart,0.06,0.1,0.06,0.1,0.13
officehome,10,5,SO,Product,RealWorld,0.19,0.13,0.09,0.04,0.04
