dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
office31,10,10,SO,amazon,dslr,93.35,89.62,89.26,96.08,93.29
office31,10,10,SO,amazon,webcam,90.23,82.87,86.9,91.02,85.18
office31,10,10,SO,dslr,amazon,83.53,89.1,85.05,95.27,83.24
office31,10,10,SO,dslr,webcam,98.58,94.71,95.23,99.53,99.07
office31,10,10,SO,webcam,amazon,85.57,88.53,84.7,93.84,86.48
office31,10,10,SO,webcam,dslr,98.77,92.74,91.3,99.92,99.91
office31,10,10,DANCE,amazon,dslr,88.37,91.38,90.41,94.0,84.39
office31,10,10,DANCE,amazon,webcam,85.85,86.19,89.31,89.12,79.17
office31,10,10,DANCE,dslr,amazon,80.01,87.33,83.96,94.53,78.92
office31,10,10,DANCE,dslr,webcam,99.92,99.56,98.45,100.0,100.0
office31,10,10,DANCE,webcam,amazon,82.84,89.14,85.05,94.45,81.83
office31,10,10,DANCE,webcam,dslr,99.64,97.96,94.6,99.62,99.61
office31,10,10,OVANet,amazon,dslr,93.56,82.41,84.28,94.84,92.04
office31,10,10,OVANet,amazon,webcam,90.22,81.95,86.22,88.8,83.05
office31,10,10,OVANet,dslr,amazon,82.14,88.62,84.76,95.04,83.01
office31,10,10,OVANet,dslr,webcam,93.41,90.59,92.37,96.76,96.28
office31,10,10,OVANet,webcam,amazon,83.24,87.74,84.2,93.72,86.31
office31,10,10,OVANet,webcam,dslr,98.03,87.75,87.99,99.07,99.05
office31,10,10,UniOT,amazon,dslr,75.98,82.89,85.77,86.96,77.59
office31,10,10,UniOT,amazon,webcam,80.08,84.82,87.65,90.57,82.07
office31,10,10,UniOT,dslr,amazon,81.82,88.29,81.74,93.87,83.98
office31,10,10,UniOT,dslr,webcam,91.83,94.79,94.21,98.11,94.6
office31,10,10,UniOT,webcam,amazon,81.39,87.1,80.72,92.59,82.89
office31,10,10,UniOT,webcam,dslr,97.36,97.09,95.98,98.69,98.67
office31,10,10,ClipDistill,amazon,dslr,93.99,88.86,88.75,97.95,93.45
office31,10,10,ClipDistill,amazon,webcam,92.24,79.87,84.69,95.05,93.21
office31,10,10,ClipDistill,dslr,amazon,94.72,85.88,83.07,97.3,94.8
office31,10,10,ClipDistill,dslr,webcam,92.24,79.87,84.69,95.05,93.21
office31,10,10,ClipDistill,webcam,amazon,94.72,85.88,83.07,97.3,94.8
office31,10,10,ClipDistill,webcam,dslr,93.99,88.86,88.75,97.95,93.45
office31,10,10,AutoDistill,amazon,dslr,nan,nan,nan,nan,nan
office31,10,10,AutoDistill,amazon,webcam,nan,nan,nan,nan,nan
office31,10,10,AutoDistill,dslr,amazon,nan,nan,nan,nan,nan
office31,10,10,AutoDistill,dslr,webcam,nan,nan,nan,nan,nan
office31,10,10,AutoDistill,webcam,amazon,nan,nan,nan,nan,nan
office31,10,10,AutoDistill,webcam,dslr,nan,nan,nan,nan,nan
officehome,10,5,SO,Art,Clipart,72.88,73.23,74.52,85.49,66.85
officehome,10,5,SO,Art,Product,90.83,86.77,87.67,95.26,93.05
officehome,10,5,SO,Art,RealWorld,92.02,88.11,87.28,96.44,95.01
officehome,10,5,SO,Clipart,Art,78.66,85.08,83.16,93.27,86.34
officehome,10,5,SO,Clipart,Product,83.78,86.37,87.4,92.54,88.9
officehome,10,5,SO,Clipart,RealWorld,87.0,89.68,88.31,95.87,93.43
officehome,10,5,SO,Product,Art,75.2,81.99,81.17,91.29,82.68
officehome,10,5,SO,Product,Clipart,66.1,71.77,73.5,81.55,65.57
officehome,10,5,SO,Product,RealWorld,85.31,85.24,85.38,92.44,89.16
officehome,10,5,SO,RealWorld,Art,82.96,83.15,81.93,91.69,85.73
officehome,10,5,SO,RealWorld,Clipart,73.16,75.66,76.18,86.69,71.16
officehome,10,5,SO,RealWorld,Product,95.45,86.15,87.25,96.44,95.63
officehome,10,5,DANCE,Art,Clipart,73.31,79.49,78.72,89.85,77.77
officehome,10,5,DANCE,Art,Product,83.16,84.7,86.25,91.63,85.58
officehome,10,5,DANCE,Art,RealWorld,90.97,89.82,88.39,96.21,93.59
officehome,10,5,DANCE,Clipart,Art,78.37,85.41,83.37,92.25,82.59
officehome,10,5,DANCE,Clipart,Product,86.07,90.3,90.04,93.26,87.63
officehome,10,5,DANCE,Clipart,RealWorld,87.69,91.36,89.38,96.86,94.52
officehome,10,5,DANCE,Product,Art,71.64,80.89,80.45,88.59,72.09
officehome,10,5,DANCE,Product,Clipart,60.21,70.7,72.75,85.15,64.88
officehome,10,5,DANCE,Product,RealWorld,82.89,85.46,85.54,93.09,86.04
officehome,10,5,DANCE,RealWorld,Art,80.83,85.01,83.12,91.87,83.27
officehome,10,5,DANCE,RealWorld,Clipart,71.11,77.72,77.56,87.63,75.84
officehome,10,5,DANCE,RealWorld,Product,95.71,91.74,90.99,96.54,96.03
officehome,10,5,OVANet,Art,Clipart,62.97,72.18,73.79,79.21,61.81
officehome,10,5,OVANet,Art,Product,89.83,83.0,85.07,92.03,89.89
officehome,10,5,OVANet,Art,RealWorld,93.52,82.62,83.61,95.94,94.48
officehome,10,5,OVANet,Clipart,Art,84.55,75.83,77.04,89.42,82.45
officehome,10,5,OVANet,Clipart,Product,86.12,77.15,80.88,88.84,85.53
officehome,10,5,OVANet,Clipart,RealWorld,93.3,72.46,76.39,95.2,92.8
officehome,10,5,OVANet,Product,Art,76.1,82.0,81.18,89.71,81.14
officehome,10,5,OVANet,Product,Clipart,45.47,56.85,62.34,76.35,61.55
officehome,10,5,OVANet,Product,RealWorld,89.67,85.45,85.53,94.58,91.35
officehome,10,5,OVANet,RealWorld,Art,82.44,82.2,81.31,90.65,84.82
officehome,10,5,OVANet,RealWorld,Clipart,55.69,66.38,69.65,78.45,64.6
officehome,10,5,OVANet,RealWorld,Product,93.81,85.79,87.0,94.73,93.92
officehome,10,5,UniOT,Art,Clipart,76.68,82.07,80.22,88.88,72.91
officehome,10,5,UniOT,Art,Product,90.47,92.04,90.95,96.26,93.71
