dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
office31,10,10,SO,amazon,dslr,0.02,0.15,0.1,0.06,0.26
office31,10,10,SO,amazon,webcam,0.19,0.1,0.07,0.09,0.16
office31,10,10,SO,dslr,amazon,0.35,0.36,0.22,0.27,0.33
office31,10,10,SO,dslr,webcam,0.45,0.4,0.27,0.1,0.51
office31,10,10,SO,webcam,amazon,0.14,0.59,0.36,0.29,0.62
office31,10,10,SO,webcam,dslr,0.09,0.56,0.36,0.01,0.0
office31,10,10,DANCE,amazon,dslr,0.43,0.26,0.17,0.16,0.16
office31,10,10,DANCE,amazon,webcam,1.65,0.91,0.65,0.08,0.45
office31,10,10,DANCE,dslr,amazon,2.74,1.86,1.14,1.94,5.46
office31,10,10,DANCE,dslr,webcam,0.03,0.18,0.12,0.0,0.0
office31,10,10,DANCE,webcam,amazon,4.28,2.89,1.77,2.88,5.82
office31,10,10,DANCE,webcam,dslr,0.07,0.42,0.26,0.23,0.24
office31,10,10,OVANet,amazon,dslr,0.82,5.27,3.73,2.14,2.44
office31,10,10,OVANet,amazon,webcam,1.01,1.12,0.82,0.86,0.68
office31,10,10,OVANet,dslr,amazon,0.2,0.31,0.19,0.73,1.05
office31,10,10,OVANet,dslr,webcam,0.88,4.13,2.9,2.22,2.62
office31,10,10,OVANet,webcam,amazon,0.62,2.5,1.55,1.48,1.18
office31,10,10,OVANet,webcam,dslr,0.41,2.88,1.94,0.26,0.27
office31,10,10,UniOT,amazon,dslr,0.39,0.24,1.1,2.01,2.95
office31,10,10,UniOT,amazon,webcam,2.6,2.02,2.43,1.07,2.75
office31,10,10,UniOT,dslr,amazon,0.42,0.3,1.02,1.13,1.7
office31,10,10,UniOT,dslr,webcam,1.8,1.23,0.58,0.61,1.0
office31,10,10,UniOT,webcam,amazon,0.16,0.94,0.27,1.55,2.59
office31,10,10,UniOT,webcam,dslr,0.89,0.61,0.45,0.19,0.19
office31,10,10,ClipDistill,amazon,dslr,0.0,0.0,0.0,0.01,0.01
office31,10,10,ClipDistill,amazon,webcam,0.14,0.06,0.04,0.01,0.16
office31,10,10,ClipDistill,dslr,amazon,0.0,0.0,0.0,0.0,0.0
office31,10,10,ClipDistill,dslr,webcam,0.14,0.06,0.04,0.01,0.16
office31,10,10,ClipDistill,webcam,amazon,0.0,0.0,0.0,0.0,0.0
office31,10,10,ClipDistill,webcam,dslr,0.0,0.0,0.0,0.01,0.01
office31,10,10,AutoDistill,amazon,dslr,nan,nan,nan,nan,nan
office31,10,10,AutoDistill,amazon,webcam,nan,nan,nan,nan,nan
office31,10,10,AutoDistill,dslr,amazon,nan,nan,nan,nan,nan
office31,10,10,AutoDistill,dslr,webcam,nan,nan,nan,nan,nan
office31,10,10,AutoDistill,webcam,amazon,nan,nan,nan,nan,nan
office31,10,10,AutoDistill,webcam,dslr,nan,nan,nan,nan,nan
officehome,10,5,SO,Art,Clipart,0.18,0.2,0.14,0.19,0.34
officehome,10,5,SO,Art,Product,0.36,0.25,0.17,0.09,0.15
officehome,10,5,SO,Art,RealWorld,0.13,0.18,0.11,0.0,0.1
officehome,10,5,SO,Clipart,Art,0.18,0.15,0.09,0.05,0.13
officehome,10,5,SO,Clipart,Product,0.08,0.09,0.06,0.02,0.11
officehome,10,5,SO,Clipart,RealWorld,0.26,0.16,0.1,0.01,0.05
officehome,10,5,SO,Product,Art,0.34,0.24,0.16,0.3,0.76
officehome,10,5,SO,Product,Clipart,0.45,0.25,0.18,0.43,0.54
officehome,10,5,SO,Product,RealWorld,0.4,0.22,0.15,0.25,0.25
officehome,10,5,SO,RealWorld,Art,0.19,0.27,0.17,0.13,0.24
officehome,10,5,SO,RealWorld,Clipart,0.31,0.23,0.15,0.11,0.12
officehome,10,5,SO,RealWorld,Product,0.12,0.15,0.1,0.05,0.11
officehome,10,5,DANCE,Art,Clipart,0.4,0.68,0.44,0.86,0.75
officehome,10,5,DANCE,Art,Product,0.48,0.29,0.2,0.24,0.49
officehome,10,5,DANCE,Art,RealWorld,0.16,0.58,0.38,0.39,0.31
officehome,10,5,DANCE,Clipart,Art,0.33,0.22,0.14,0.05,0.23
officehome,10,5,DANCE,Clipart,Product,1.04,0.58,0.39,0.51,0.37
officehome,10,5,DANCE,Clipart,RealWorld,0.2,0.12,0.08,0.03,0.04
