dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
office31,10,10,SO,amazon,dslr,82.3,54.48,60.18,86.21,69.72
office31,10,10,SO,amazon,webcam,74.41,53.47,59.35,82.83,62.83
office31,10,10,SO,dslr,amazon,81.61,79.11,66.71,90.68,79.54
office31,10,10,SO,dslr,webcam,94.11,76.59,75.07,96.53,94.19
office31,10,10,SO,webcam,amazon,85.74,73.56,65.44,90.1,82.78
office31,10,10,SO,webcam,dslr,94.5,60.82,66.54,98.86,98.2
office31,10,10,DANCE,amazon,dslr,91.23,77.87,73.08,85.56,79.04
office31,10,10,DANCE,amazon,webcam,92.57,75.97,70.89,85.6,79.86
office31,10,10,DANCE,dslr,amazon,91.1,77.0,64.03,87.89,82.61
office31,10,10,DANCE,dslr,webcam,97.56,90.92,79.95,94.43,93.21
office31,10,10,DANCE,webcam,amazon,90.94,72.37,62.11,86.74,81.68
office31,10,10,DANCE,webcam,dslr,96.99,87.79,79.35,92.11,90.42
office31,10,10,OVANet,amazon,dslr,79.22,82.95,80.45,89.06,71.79
office31,10,10,OVANet,amazon,webcam,69.29,77.61,76.76,84.95,65.18
office31,10,10,OVANet,dslr,amazon,56.52,67.91,59.72,86.82,73.98
office31,10,10,OVANet,dslr,webcam,94.66,94.99,87.29,98.33,97.3
office31,10,10,OVANet,webcam,amazon,74.38,81.25,67.26,90.41,81.46
office31,10,10,OVANet,webcam,dslr,98.7,95.26,89.29,99.2,98.54
office31,10,10,UniOT,amazon,dslr,78.21,77.09,76.88,85.98,72.66
office31,10,10,UniOT,amazon,webcam,75.06,76.73,75.02,87.46,72.81
office31,10,10,UniOT,dslr,amazon,84.01,86.44,69.41,95.73,87.12
office31,10,10,UniOT,dslr,webcam,87.44,91.22,86.17,98.82,94.74
office31,10,10,UniOT,webcam,amazon,84.18,85.45,68.86,95.71,87.51
office31,10,10,UniOT,webcam,dslr,89.77,89.3,87.66,98.26,93.57
office31,10,10,ClipDistill,amazon,dslr,93.84,87.16,86.61,97.84,93.98
office31,10,10,ClipDistill,amazon,webcam,92.42,78.18,80.78,94.59,92.86
