dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
office31,10,10,SO,amazon,dslr,1.2,3.1,2.76,1.15,1.45
office31,10,10,SO,amazon,webcam,1.25,1.48,1.0,2.05,2.31
office31,10,10,SO,dslr,amazon,0.2,0.25,0.44,0.17,0.62
office31,10,10,SO,dslr,webcam,0.51,1.0,0.61,0.63,1.27
office31,10,10,SO,webcam,amazon,0.3,1.42,0.49,0.91,0.9
office31,10,10,SO,webcam,dslr,0.17,1.84,1.46,0.22,0.22
office31,10,10,DANCE,amazon,dslr,0.97,0.94,1.55,1.03,2.5
office31,10,10,DANCE,amazon,webcam,0.39,0.92,0.66,0.56,0.87
office31,10,10,DANCE,dslr,amazon,0.14,1.74,1.56,0.64,0.48
office31,10,10,DANCE,dslr,webcam,0.25,2.59,1.89,1.4,1.29
office31,10,10,DANCE,webcam,amazon,0.18,2.69,1.63,0.73,0.72
office31,10,10,DANCE,webcam,dslr,0.65,2.16,1.81,1.74,2.18
office31,10,10,OVANet,amazon,dslr,0.86,0.56,0.67,1.24,0.64
office31,10,10,OVANet,amazon,webcam,1.88,1.19,1.04,1.0,1.03
office31,10,10,OVANet,dslr,amazon,2.4,2.24,1.45,1.03,2.03
office31,10,10,OVANet,dslr,webcam,0.58,0.3,1.24,0.2,0.67
office31,10,10,OVANet,webcam,amazon,0.77,0.37,0.37,0.32,0.44
office31,10,10,OVANet,webcam,dslr,0.18,0.27,0.93,0.14,0.14
office31,10,10,UniOT,amazon,dslr,1.48,1.11,2.23,0.81,2.24
office31,10,10,UniOT,amazon,webcam,1.23,0.57,0.64,1.07,2.18
office31,10,10,UniOT,dslr,amazon,0.92,0.42,1.86,1.2,0.98
office31,10,10,UniOT,dslr,webcam,1.89,0.79,1.65,0.06,0.75
office31,10,10,UniOT,webcam,amazon,1.18,0.53,1.4,0.14,0.5
office31,10,10,UniOT,webcam,dslr,1.08,0.52,0.74,0.97,2.33
officehome,10,5,SO,Art,Clipart,0.78,0.25,0.3,0.22,0.75
officehome,10,5,SO,Art,Product,0.42,0.31,0.29,0.39,0.35
officehome,10,5,SO,Art,RealWorld,0.24,0.59,0.52,0.16,0.45
officehome,10,5,SO,Clipart,Art,2.07,1.19,0.76,0.12,1.34
officehome,10,5,SO,Clipart,Product,0.88,0.57,0.45,0.59,0.77
officehome,10,5,SO,Clipart,RealWorld,1.48,1.09,0.78,0.47,1.84
officehome,10,5,SO,Product,Art,0.43,0.48,0.38,0.66,0.39
officehome,10,5,SO,Product,Clipart,0.26,0.68,0.28,1.08,0.14
officehome,10,5,SO,Product,RealWorld,0.39,0.41,0.32,0.63,0.41
officehome,10,5,SO,RealWorld,Art,0.71,0.12,0.08,0.57,0.91
officehome,10,5,SO,RealWorld,Clipart,0.56,0.3,0.12,0.12,0.22
officehome,10,5,SO,RealWorld,Product,0.66,0.41,0.33,0.49,0.92
officehome,10,5,DANCE,Art,Clipart,0.41,3.7,3.02,0.41,0.77
officehome,10,5,DANCE,Art,Product,0.5,5.91,5.5,0.83,0.82
officehome,10,5,DANCE,Art,RealWorld,0.37,3.66,3.32,1.21,1.28
officehome,10,5,DANCE,Clipart,Art,0.59,3.4,2.91,1.03,0.91
officehome,10,5,DANCE,Clipart,Product,0.35,0.27,0.34,1.82,1.65
officehome,10,5,DANCE,Clipart,RealWorld,0.3,0.43,0.39,1.01,1.24
officehome,10,5,DANCE,Product,Art,0.27,2.72,2.11,0.16,0.38
officehome,10,5,DANCE,Product,Clipart,0.44,1.31,0.88,0.32,0.52
officehome,10,5,DANCE,Product,RealWorld,0.01,1.78,1.61,0.93,0.77
officehome,10,5,DANCE,RealWorld,Art,1.02,4.01,3.77,1.65,2.15
officehome,10,5,DANCE,RealWorld,Clipart,1.0,3.19,2.44,0.39,0.82
officehome,10,5,DANCE,RealWorld,Product,0.29,0.88,0.71,0.59,0.51
officehome,10,5,OVANet,Art,Clipart,0.67,0.64,0.3,0.51,0.9
officehome,10,5,OVANet,Art,Product,0.2,0.18,0.23,0.09,0.1
officehome,10,5,OVANet,Art,RealWorld,0.52,0.56,0.11,0.31,0.29
officehome,10,5,OVANet,Clipart,Art,0.5,0.63,0.44,1.11,0.97
officehome,10,5,OVANet,Clipart,Product,0.65,0.22,0.25,0.25,0.36
officehome,10,5,OVANet,Clipart,RealWorld,0.08,0.08,0.18,0.47,0.74
officehome,10,5,OVANet,Product,Art,0.89,0.58,0.54,0.61,1.32
officehome,10,5,OVANet,Product,Clipart,0.27,0.23,0.29,0.63,0.03
officehome,10,5,OVANet,Product,RealWorld,0.42,0.11,0.02,0.21,0.43
officehome,10,5,OVANet,RealWorld,Art,0.62,0.55,0.53,0.56,1.27
officehome,10,5,OVANet,RealWorld,Clipart,0.36,0.21,0.38,0.42,0.35
officehome,10,5,OVANet,RealWorld,Product,0.53,0.46,0.29,0.56,0.44
officehome,10,5,UniOT,Art,Clipart,1.11,0.97,1.0,1.41,1.15
officehome,10,5,UniOT,Art,Product,0.98,0.7,0.47,0.96,1.46
officehome,10,5,UniOT,Art,RealWorld,0.3,0.54,0.36,0.47,0.45
officehome,10,5,UniOT,Clipart,Art,1.48,0.2,0.31,1.14,1.91
officehome,10,5,UniOT,Clipart,Product,2.08,1.66,1.07,1.65,1.93
officehome,10,5,UniOT,Clipart,RealWorld,0.4,0.96,0.74,0.43,1.01
officehome,10,5,UniOT,Product,Art,0.66,0.96,1.03,1.05,2.22
officehome,10,5,UniOT,Product,Clipart,1.16,0.76,0.6,0.88,1.21
officehome,10,5,UniOT,Product,RealWorld,0.56,1.14,1.22,0.54,0.93
officehome,10,5,UniOT,RealWorld,Art,0.8,0.3,0.19,0.69,1.35
officehome,10,5,UniOT,RealWorld,Clipart,1.94,1.23,0.81,1.33,1.26
officehome,10,5,UniOT,RealWorld,Product,0.73,0.44,0.41,0.67,0.71
visda,6,3,SO,syn,real,1.02,1.47,1.08,0.41,0.26
visda,6,3,DANCE,syn,real,0.4,0.07,0.09,0.44,0.66
visda,6,3,OVANet,syn,real,0.89,1.05,1.55,1.5,1.01
visda,6,3,UniOT,syn,real,1.98,1.61,0.84,2.05,1.42
domainnet,150,50,SO,painting,real,0.24,0.13,0.11,0.21,0.23
domainnet,150,50,SO,painting,sketch,0.15,0.22,0.13,0.04,0.21
domainnet,150,50,SO,real,painting,0.07,0.43,0.29,0.17,0.13
domainnet,150,50,SO,real,sketch,0.05,0.12,0.08,0.08,0.15
domainnet,150,50,SO,sketch,painting,0.2,0.24,0.21,0.1,0.02
domainnet,150,50,SO,sketch,real,0.29,0.47,0.39,0.08,0.31
domainnet,150,50,DANCE,painting,real,0.22,0.26,0.31,0.14,0.13
domainnet,150,50,DANCE,painting,sketch,0.67,0.92,0.86,0.59,0.58
domainnet,150,50,DANCE,real,painting,0.43,1.19,1.04,0.55,0.58
domainnet,150,50,DANCE,real,sketch,0.18,0.42,0.33,0.16,0.36
domainnet,150,50,DANCE,sketch,painting,0.36,0.49,0.54,0.38,0.12
domainnet,150,50,DANCE,sketch,real,0.17,0.29,0.31,0.14,0.09
domainnet,150,50,OVANet,painting,real,0.15,0.08,0.07,0.18,0.11
domainnet,150,50,OVANet,painting,sketch,0.16,0.2,0.15,0.28,0.38
domainnet,150,50,OVANet,real,painting,0.4,0.17,0.12,0.06,0.02
domainnet,150,50,OVANet,real,sketch,0.07,0.05,0.08,0.1,0.26
