dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
office31,10,0,AutoDistill,amazon,dslr,70.2,80.1,82.92,97.73,95.17
office31,10,0,AutoDistill,amazon,webcam,69.2,79.45,82.82,96.66,90.89
office31,10,0,AutoDistill,dslr,amazon,81.15,87.9,82.09,97.75,93.91
office31,10,0,AutoDistill,dslr,webcam,71.91,81.19,84.07,96.61,90.84
office31,10,0,AutoDistill,webcam,amazon,85.03,90.32,83.48,97.71,93.86
office31,10,0,AutoDistill,webcam,dslr,79.56,86.38,87.3,97.71,95.14
officehome,15,0,AutoDistill,Art,Clipart,73.05,77.32,72.23,85.36,76.32
officehome,15,0,AutoDistill,Art,Product,93.06,78.79,81.41,93.89,91.48
officehome,15,0,AutoDistill,Art,RealWorld,93.14,84.49,83.12,94.37,92.59
officehome,15,0,AutoDistill,Clipart,Art,79.13,83.51,75.37,93.01,88.72
officehome,15,0,AutoDistill,Clipart,Product,92.66,79.2,81.7,94.02,91.62
officehome,15,0,AutoDistill,Clipart,RealWorld,93.11,84.8,83.33,94.49,92.73
officehome,15,0,AutoDistill,Product,Art,70.13,79.73,73.28,93.61,89.44
officehome,15,0,AutoDistill,Product,Clipart,67.95,76.71,71.88,86.55,77.43
officehome,15,0,AutoDistill,Product,RealWorld,90.34,88.73,85.81,95.78,93.97
officehome,15,0,AutoDistill,RealWorld,Art,71.54,80.37,73.64,93.56,89.39
officehome,15,0,AutoDistill,RealWorld,Clipart,69.8,77.56,72.37,86.43,77.18
officehome,15,0,AutoDistill,RealWorld,Product,90.42,85.66,86.17,95.2,92.7
visda,6,0,AutoDistill,syn,real,78.04,84.05,81.43,91.35,86.37
domainnet,150,0,AutoDistill,painting,real,78.15,76.62,77.98,86.02,77.23
domainnet,150,0,AutoDistill,painting,sketch,52.86,64.46,63.0,77.46,58.31
domainnet,150,0,AutoDistill,real,painting,47.42,61.81,62.97,80.67,63.6
domainnet,150,0,AutoDistill,real,sketch,50.72,63.87,62.62,78.51,59.25
domainnet,150,0,AutoDistill,sketch,painting,50.27,63.24,63.96,79.76,62.71
domainnet,150,0,AutoDistill,sketch,real,77.95,76.88,78.16,86.19,77.38
