dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
office31,10,0,AutoDistill,amazon,dslr,78.49,86.58,87.9,99.24,97.95
office31,10,0,AutoDistill,amazon,webcam,82.03,88.89,89.06,98.97,98.96
office31,10,0,AutoDistill,dslr,amazon,89.28,93.09,88.72,98.5,96.2
office31,10,0,AutoDistill,dslr,webcam,89.4,93.27,91.94,98.98,98.98
office31,10,0,AutoDistill,webcam,amazon,88.1,92.43,88.32,98.5,96.2
office31,10,0,AutoDistill,webcam,dslr,83.93,90.31,90.43,99.24,97.95
officehome,15,0,AutoDistill,Art,Clipart,80.64,81.25,78.21,88.18,80.74
officehome,15,0,AutoDistill,Art,Product,93.85,81.47,84.33,95.44,93.23
officehome,15,0,AutoDistill,Art,RealWorld,94.56,86.94,86.59,96.73,95.82
officehome,15,0,AutoDistill,Clipart,Art,83.53,86.83,79.85,94.93,92.26
officehome,15,0,AutoDistill,Clipart,Product,93.84,83.36,85.68,95.89,93.67
officehome,15,0,AutoDistill,Clipart,RealWorld,94.35,88.52,87.63,97.01,96.1
officehome,15,0,AutoDistill,Product,Art,77.12,84.45,78.5,95.32,91.99
officehome,15,0,AutoDistill,Product,Clipart,75.14,81.92,78.62,89.29,81.63
officehome,15,0,AutoDistill,Product,RealWorld,91.31,91.58,89.6,97.54,96.63
officehome,15,0,AutoDistill,RealWorld,Art,78.7,85.24,78.95,95.26,91.93
officehome,15,0,AutoDistill,RealWorld,Clipart,76.77,82.45,78.94,89.2,81.61
officehome,15,0,AutoDistill,RealWorld,Product,92.91,87.7,88.68,96.53,94.31
visda,6,0,AutoDistill,syn,real,73.17,80.93,80.42,91.27,86.11
domainnet,150,0,AutoDistill,painting,real,79.75,81.23,82.07,89.28,82.12
domainnet,150,0,AutoDistill,painting,sketch,61.47,72.09,69.24,83.21,67.8
domainnet,150,0,AutoDistill,real,painting,52.88,67.13,67.67,85.42,71.2
domainnet,150,0,AutoDistill,real,sketch,59.72,71.74,69.02,84.27,68.73
domainnet,150,0,AutoDistill,sketch,painting,54.39,67.89,68.18,84.89,70.74
domainnet,150,0,AutoDistill,sketch,real,79.11,81.78,82.44,89.79,82.61
