dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
office31,10,0,AutoDistill,amazon,dslr,0.0,0.0,0.0,0.0,0.0
office31,10,0,AutoDistill,amazon,webcam,0.0,0.0,0.0,0.0,0.0
office31,10,0,AutoDistill,dslr,amazon,0.0,0.0,0.0,0.0,0.0
office31,10,0,AutoDistill,dslr,webcam,0.0,0.0,0.0,0.0,0.0
office31,10,0,AutoDistill,webcam,amazon,0.0,0.0,0.0,0.0,0.0
office31,10,0,AutoDistill,webcam,dslr,0.0,0.0,0.0,0.0,0.0
officehome,15,0,AutoDistill,Art,Clipart,0.0,0.01,0.01,0.0,0.0
officehome,15,0,AutoDistill,Art,Product,0.0,0.01,0.01,0.0,0.0
officehome,15,0,AutoDistill,Art,RealWorld,0.04,0.02,0.02,0.0,0.0
officehome,15,0,AutoDistill,Clipart,Art,0.02,0.12,0.07,0.05,0.04
officehome,15,0,AutoDistill,Clipart,Product,0.01,0.51,0.36,0.1,0.1
officehome,15,0,AutoDistill,Clipart,RealWorld,0.08,0.33,0.21,0.07,0.07
officehome,15,0,AutoDistill,Product,Art,0.0,0.01,0.01,0.0,0.0
officehome,15,0,AutoDistill,Product,Clipart,0.03,0.03,0.02,0.0,0.0
officehome,15,0,AutoDistill,Product,RealWorld,0.0,0.01,0.0,0.0,0.0
officehome,15,0,AutoDistill,RealWorld,Art,0.0,0.0,0.0,0.0,0.0
officehome,15,0,AutoDistill,RealWorld,Clipart,0.03,0.02,0.01,0.0,0.04
officehome,15,0,AutoDistill,RealWorld,Product,0.0,0.01,0.01,0.0,0.0
visda,6,0,AutoDistill,syn,real,0.0,0.0,0.0,0.0,0.0
domainnet,150,0,AutoDistill,painting,real,0.01,0.01,0.01,0.02,0.01
domainnet,150,0,AutoDistill,painting,sketch,0.04,0.02,0.01,0.02,0.01
domainnet,150,0,AutoDistill,real,painting,0.03,0.02,0.02,0.0,0.01
domainnet,150,0,AutoDistill,real,sketch,0.02,0.02,0.01,0.01,0.01
domainnet,150,0,AutoDistill,sketch,painting,0.02,0.01,0.01,0.01,0.01
domainnet,150,0,AutoDistill,sketch,real,0.02,0.01,0.0,0.02,0.01
