dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
office31,10,0,SO,amazon,dslr,92.9,92.04,91.55,94.25,88.49
office31,10,0,SO,amazon,webcam,92.75,92.01,91.87,94.98,91.81
office31,10,0,SO,dslr,amazon,94.34,91.71,86.0,97.58,95.35
office31,10,0,SO,dslr,webcam,98.12,95.51,94.17,99.66,99.32
office31,10,0,SO,webcam,amazon,93.84,89.77,84.85,97.11,94.83
office31,10,0,SO,webcam,dslr,98.37,90.17,90.32,99.89,99.88
office31,10,0,DANCE,amazon,dslr,93.31,93.15,92.29,97.26,94.74
office31,10,0,DANCE,amazon,webcam,93.31,93.08,92.58,95.19,94.2
office31,10,0,DANCE,dslr,amazon,96.02,96.74,88.89,99.33,97.14
office31,10,0,DANCE,dslr,webcam,98.69,98.74,96.24,99.92,99.58
office31,10,0,DANCE,webcam,amazon,94.8,95.81,88.36,99.16,96.94
office31,10,0,DANCE,webcam,dslr,99.82,99.0,96.04,99.97,99.97
office31,10,0,OVANet,amazon,dslr,88.96,93.3,92.38,97.63,91.89
office31,10,0,OVANet,amazon,webcam,84.59,90.3,90.73,97.22,94.05
office31,10,0,OVANet,dslr,amazon,73.82,82.93,80.64,97.58,95.31
office31,10,0,OVANet,dslr,webcam,95.68,97.48,95.44,99.76,99.42
office31,10,0,OVANet,webcam,amazon,77.13,85.37,82.18,97.15,94.91
office31,10,0,OVANet,webcam,dslr,97.72,97.58,95.13,99.25,99.24
office31,10,0,UniOT,amazon,dslr,93.15,95.11,94.19,97.1,93.27
office31,10,0,UniOT,amazon,webcam,93.76,95.92,95.24,98.45,97.54
office31,10,0,UniOT,dslr,amazon,93.43,95.45,88.09,98.71,96.7
office31,10,0,UniOT,dslr,webcam,97.84,98.36,96.52,99.84,99.61
office31,10,0,UniOT,webcam,amazon,93.95,95.68,88.22,98.67,96.65
office31,10,0,UniOT,webcam,dslr,97.43,98.35,97.18,99.66,99.44
office31,10,0,WiSE-FT,amazon,dslr,88.09,92.77,92.04,95.68,91.21
office31,10,0,WiSE-FT,amazon,webcam,85.76,90.99,91.19,96.56,95.19
office31,10,0,WiSE-FT,dslr,amazon,88.22,92.78,86.62,98.42,96.26
office31,10,0,WiSE-FT,dslr,webcam,96.21,97.87,95.69,99.8,99.45
office31,10,0,WiSE-FT,webcam,amazon,87.24,92.1,86.22,98.32,96.13
office31,10,0,WiSE-FT,webcam,dslr,96.54,97.93,95.36,99.95,99.74
office31,10,0,ClipCrossModel,amazon,dslr,93.97,93.51,92.52,95.46,90.77
office31,10,0,ClipCrossModel,amazon,webcam,92.97,92.19,91.99,96.5,94.46
office31,10,0,ClipCrossModel,dslr,amazon,95.97,93.85,87.24,98.65,96.53
office31,10,0,ClipCrossModel,dslr,webcam,98.55,94.97,93.82,99.69,99.35
office31,10,0,ClipCrossModel,webcam,amazon,95.99,92.47,86.44,98.49,96.13
office31,10,0,ClipCrossModel,webcam,dslr,99.06,94.54,93.19,99.86,99.85
office31,10,0,ClipZeroShot,amazon,dslr,9.09,0.0,0.0,99.36,98.71
office31,10,0,ClipZeroShot,amazon,webcam,9.09,0.0,0.0,98.54,98.53
office31,10,0,ClipZeroShot,dslr,amazon,9.19,0.22,0.33,98.51,96.02
office31,10,0,ClipZeroShot,dslr,webcam,9.09,0.0,0.0,98.54,98.53
office31,10,0,ClipZeroShot,webcam,amazon,9.19,0.22,0.33,98.51,96.02
office31,10,0,ClipZeroShot,webcam,dslr,9.09,0.0,0.0,99.36,98.71
office31,10,0,ClipDistill,amazon,dslr,96.46,92.26,91.7,99.24,98.59
office31,10,0,ClipDistill,amazon,webcam,97.46,93.29,92.72,99.2,99.19
office31,10,0,ClipDistill,dslr,amazon,95.57,89.74,84.84,98.34,96.05
office31,10,0,ClipDistill,dslr,webcam,97.46,93.29,92.72,99.2,99.19
office31,10,0,ClipDistill,webcam,amazon,95.57,89.74,84.84,98.34,96.05
office31,10,0,ClipDistill,webcam,dslr,96.46,92.26,91.7,99.24,98.59
office31,10,0,ClipDistillTemp1.0,amazon,dslr,9.09,0.0,0.0,99.36,98.71
office31,10,0,ClipDistillTemp1.0,amazon,webcam,9.09,0.0,0.0,98.54,98.53
office31,10,0,ClipDistillTemp1.0,dslr,amazon,9.19,0.22,0.33,98.51,96.02
office31,10,0,ClipDistillTemp1.0,dslr,webcam,9.09,0.0,0.0,98.54,98.53
office31,10,0,ClipDistillTemp1.0,webcam,amazon,9.19,0.22,0.33,98.51,96.02
office31,10,0,ClipDistillTemp1.0,webcam,dslr,9.09,0.0,0.0,99.36,98.71
office31,10,0,AutoDistill,amazon,dslr,83.1,89.75,90.04,99.39,98.74
office31,10,0,AutoDistill,amazon,webcam,86.51,91.91,91.81,99.01,99.01
office31,10,0,AutoDistill,dslr,amazon,88.49,92.68,86.57,98.5,96.0
office31,10,0,AutoDistill,dslr,webcam,89.82,93.6,92.92,99.04,99.03
office31,10,0,AutoDistill,webcam,amazon,87.23,91.99,86.16,98.5,96.0
office31,10,0,AutoDistill,webcam,dslr,85.16,91.11,90.94,99.38,98.73
office31,10,0,Auto_only_cal,amazon,dslr,83.1,89.75,90.04,99.38,98.74
office31,10,0,Auto_only_cal,amazon,webcam,86.53,92.0,91.86,99.01,99.0
office31,10,0,Auto_only_cal,dslr,amazon,88.56,92.67,86.56,98.48,95.98
office31,10,0,Auto_only_cal,dslr,webcam,89.8,93.51,92.86,99.03,99.03
office31,10,0,Auto_only_cal,webcam,amazon,87.58,92.14,86.25,98.48,95.98
office31,10,0,Auto_only_cal,webcam,dslr,85.41,91.28,91.05,99.38,98.73
office31,10,0,Auto_wo_iid,amazon,dslr,65.29,76.4,80.62,99.39,98.74
office31,10,0,Auto_wo_iid,amazon,webcam,57.83,69.8,75.82,98.89,98.88
office31,10,0,Auto_wo_iid,dslr,amazon,70.05,80.17,78.9,98.52,96.02
office31,10,0,Auto_wo_iid,dslr,webcam,63.09,74.53,79.46,98.92,98.91
office31,10,0,Auto_wo_iid,webcam,amazon,68.92,79.27,78.32,98.52,96.02
office31,10,0,Auto_wo_iid,webcam,dslr,67.02,77.84,81.68,99.39,98.74
office31,10,0,Auto_wo_nll,amazon,dslr,60.4,72.15,77.41,99.4,98.75
