dataset,n_share,n_source_private,method,AA,H-score,H3-score,AUROC,OSCR
office31,10,0,SO,95.05,91.87,89.79,97.24,94.95
office31,10,0,DANCE,95.99,96.09,92.4,98.47,97.09
office31,10,0,OVANet,86.32,91.16,89.42,98.1,95.8
office31,10,0,UniOT,94.93,96.48,93.24,98.74,97.2
office31,10,0,ClipCrossModel,96.08,93.59,90.87,98.11,96.18
office31,10,0,ClipZeroShot,90.31,83.59,83.99,98.73,97.68
office31,10,0,UB2DA,59.1,70.81,75.02,98.94,97.88
office31,10,0,debug,90.25,93.89,91.06,98.97,97.92
office31,10,0,debug0.3,96.5,91.76,89.75,98.93,97.94
office31,10,0,WiSE-FT,90.34,94.07,91.19,98.12,96.33
officehome,15,0,SO,80.92,82.05,81.14,91.02,84.53
officehome,15,0,DANCE,77.95,83.95,82.43,92.78,86.76
officehome,15,0,OVANet,73.57,80.29,79.94,92.26,85.72
officehome,15,0,UniOT,82.22,86.64,85.16,92.63,85.59
officehome,15,0,ClipCrossModel,84.97,84.26,82.54,92.56,87.82
officehome,15,0,ClipZeroShot,65.32,75.6,76.65,92.76,89.67
officehome,15,0,UB2DA,44.27,56.32,62.14,95.0,91.89
officehome,15,0,debug,76.75,84.05,82.53,95.01,91.94
officehome,15,0,debug0.3,89.54,83.31,81.77,93.56,90.66
officehome,15,0,WiSE-FT,62.58,73.44,75.32,93.68,89.28
visda,6,0,SO,75.91,75.79,76.9,77.38,71.17
visda,6,0,DANCE,72.74,74.3,75.86,73.55,63.45
visda,6,0,OVANet,35.15,39.27,47.2,72.14,66.45
visda,6,0,UniOT,82.1,83.08,78.17,84.59,78.8
visda,6,0,ClipCrossModel,83.42,81.66,80.82,85.46,79.06
visda,6,0,ClipZeroShot,61.44,70.43,73.13,87.43,82.86
visda,6,0,UB2DA,39.1,44.92,52.5,91.07,86.12
visda,6,0,debug,72.44,80.39,79.99,91.34,86.35
visda,6,0,debug0.3,87.76,87.39,84.48,91.61,86.84
visda,6,0,WiSE-FT,62.98,72.21,74.4,83.68,77.88
domainnet,150,0,SO,51.74,65.63,67.5,83.77,66.01
domainnet,150,0,DANCE,50.63,65.24,67.22,84.68,68.37
domainnet,150,0,OVANet,65.18,72.4,72.1,85.06,66.94
domainnet,150,0,UniOT,71.4,73.21,70.83,82.6,67.33
domainnet,150,0,ClipCrossModel,52.74,67.1,68.54,86.93,71.53
domainnet,150,0,ClipZeroShot,49.11,63.61,65.76,85.13,73.34
domainnet,150,0,UB2DA,0.74,0.16,0.25,87.34,75.38
domainnet,150,0,debug,11.06,18.63,24.52,88.4,76.29
domainnet,150,0,debug0.3,60.02,72.52,72.21,88.28,76.32
domainnet,150,0,WiSE-FT,4.78,7.92,11.21,86.56,71.66
