dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
office31,10,0,SO,amazon,dslr,0.03,0.19,0.12,0.1,0.1
office31,10,0,SO,amazon,webcam,0.02,0.13,0.08,0.06,0.21
office31,10,0,SO,dslr,amazon,0.21,0.27,0.16,0.2,0.18
office31,10,0,SO,dslr,webcam,0.08,0.09,0.06,0.03,0.03
office31,10,0,SO,webcam,amazon,0.21,0.33,0.2,0.12,0.18
office31,10,0,SO,webcam,dslr,0.07,0.43,0.29,0.02,0.02
office31,10,0,DANCE,amazon,dslr,0.04,0.21,0.14,1.81,1.76
office31,10,0,DANCE,amazon,webcam,0.1,0.05,0.04,0.04,0.04
office31,10,0,DANCE,dslr,amazon,0.05,0.06,0.03,0.01,0.01
office31,10,0,DANCE,dslr,webcam,0.1,0.05,0.03,0.0,0.0
office31,10,0,DANCE,webcam,amazon,1.83,1.5,0.85,0.22,0.27
office31,10,0,DANCE,webcam,dslr,0.16,0.89,0.56,0.02,0.02
office31,10,0,OVANet,amazon,dslr,1.89,1.17,0.76,0.35,0.35
office31,10,0,OVANet,amazon,webcam,1.3,0.84,0.57,0.18,0.29
office31,10,0,OVANet,dslr,amazon,4.17,3.14,2.0,0.37,0.41
office31,10,0,OVANet,dslr,webcam,0.2,0.11,0.07,0.02,0.02
office31,10,0,OVANet,webcam,amazon,1.17,0.83,0.51,0.19,0.22
office31,10,0,OVANet,webcam,dslr,0.29,1.61,1.03,1.04,1.05
office31,10,0,UniOT,amazon,dslr,1.29,1.4,0.85,1.31,1.82
office31,10,0,UniOT,amazon,webcam,0.65,0.42,0.09,0.2,1.0
office31,10,0,UniOT,dslr,amazon,1.18,0.71,0.89,0.23,0.12
office31,10,0,UniOT,dslr,webcam,1.08,1.04,0.34,0.09,0.23
office31,10,0,UniOT,webcam,amazon,1.72,0.94,0.27,0.16,0.07
office31,10,0,UniOT,webcam,dslr,0.19,0.17,0.13,0.12,0.4
office31,10,0,WiSE-FT,amazon,dslr,0.0,0.0,0.0,0.07,0.07
office31,10,0,WiSE-FT,amazon,webcam,0.0,0.0,0.0,0.07,0.07
office31,10,0,WiSE-FT,dslr,amazon,0.6,0.37,0.22,0.06,0.09
office31,10,0,WiSE-FT,dslr,webcam,0.14,0.08,0.05,0.02,0.02
office31,10,0,WiSE-FT,webcam,amazon,0.38,0.23,0.14,0.03,0.07
office31,10,0,WiSE-FT,webcam,dslr,0.36,0.2,0.13,0.0,0.3
office31,10,0,ClipCrossModel,amazon,dslr,0.2,0.16,0.1,0.12,0.27
office31,10,0,ClipCrossModel,amazon,webcam,0.01,0.05,0.03,0.08,0.33
office31,10,0,ClipCrossModel,dslr,amazon,0.0,0.01,0.01,0.0,0.0
office31,10,0,ClipCrossModel,dslr,webcam,0.0,0.0,0.0,0.0,0.0
office31,10,0,ClipCrossModel,webcam,amazon,0.0,0.01,0.01,0.0,0.05
office31,10,0,ClipCrossModel,webcam,dslr,0.01,0.08,0.05,0.0,0.0
office31,10,0,ClipZeroShot,amazon,dslr,0.0,0.0,0.0,0.0,0.0
office31,10,0,ClipZeroShot,amazon,webcam,0.0,0.0,0.0,0.0,0.0
office31,10,0,ClipZeroShot,dslr,amazon,0.0,0.0,0.0,0.0,0.0
office31,10,0,ClipZeroShot,dslr,webcam,0.0,0.0,0.0,0.0,0.0
office31,10,0,ClipZeroShot,webcam,amazon,0.0,0.0,0.0,0.0,0.0
office31,10,0,ClipZeroShot,webcam,dslr,0.0,0.0,0.0,0.0,0.0
office31,10,0,ClipDistill,amazon,dslr,0.0,0.0,0.0,0.0,0.0
office31,10,0,ClipDistill,amazon,webcam,0.01,0.05,0.03,0.0,0.0
office31,10,0,ClipDistill,dslr,amazon,0.0,0.01,0.01,0.0,0.0
office31,10,0,ClipDistill,dslr,webcam,0.01,0.05,0.03,0.0,0.0
office31,10,0,ClipDistill,webcam,amazon,0.0,0.01,0.01,0.0,0.0
office31,10,0,ClipDistill,webcam,dslr,0.0,0.0,0.0,0.0,0.0
office31,10,0,ClipDistillTemp1.0,amazon,dslr,0.0,0.0,0.0,0.0,0.0
office31,10,0,ClipDistillTemp1.0,amazon,webcam,0.0,0.0,0.0,0.0,0.0
office31,10,0,ClipDistillTemp1.0,dslr,amazon,0.0,0.0,0.0,0.0,0.0
office31,10,0,ClipDistillTemp1.0,dslr,webcam,0.0,0.0,0.0,0.0,0.0
office31,10,0,ClipDistillTemp1.0,webcam,amazon,0.0,0.0,0.0,0.0,0.0
office31,10,0,ClipDistillTemp1.0,webcam,dslr,0.0,0.0,0.0,0.0,0.0
office31,10,0,AutoDistill,amazon,dslr,0.0,0.0,0.0,0.0,0.0
office31,10,0,AutoDistill,amazon,webcam,0.0,0.0,0.0,0.0,0.0
office31,10,0,AutoDistill,dslr,amazon,0.0,0.0,0.0,0.0,0.0
office31,10,0,AutoDistill,dslr,webcam,0.0,0.0,0.0,0.0,0.0
office31,10,0,AutoDistill,webcam,amazon,0.0,0.01,0.01,0.0,0.0
office31,10,0,AutoDistill,webcam,dslr,0.18,0.12,0.08,0.0,0.0
office31,10,0,Auto_only_cal,amazon,dslr,0.0,0.0,0.0,0.0,0.0
office31,10,0,Auto_only_cal,amazon,webcam,0.0,0.0,0.0,0.0,0.0
office31,10,0,Auto_only_cal,dslr,amazon,0.0,0.0,0.0,0.0,0.0
office31,10,0,Auto_only_cal,dslr,webcam,0.0,0.0,0.0,0.0,0.0
office31,10,0,Auto_only_cal,webcam,amazon,0.0,0.0,0.0,0.0,0.0
office31,10,0,Auto_only_cal,webcam,dslr,0.0,0.0,0.0,0.0,0.0
office31,10,0,Auto_wo_iid,amazon,dslr,0.0,0.0,0.0,0.0,0.0
office31,10,0,Auto_wo_iid,amazon,webcam,0.0,0.0,0.0,0.0,0.0
office31,10,0,Auto_wo_iid,dslr,amazon,0.0,0.0,0.0,0.0,0.0
office31,10,0,Auto_wo_iid,dslr,webcam,0.0,0.0,0.0,0.0,0.0
office31,10,0,Auto_wo_iid,webcam,amazon,0.0,0.0,0.0,0.0,0.0
office31,10,0,Auto_wo_iid,webcam,dslr,0.0,0.0,0.0,0.0,0.0
office31,10,0,Auto_wo_nll,amazon,dslr,0.19,0.17,0.13,0.0,0.0
office31,10,0,Auto_wo_nll,amazon,webcam,0.1,0.1,0.08,0.0,0.0
office31,10,0,Auto_wo_nll,dslr,amazon,0.0,0.0,0.0,0.0,0.0
office31,10,0,Auto_wo_nll,dslr,webcam,0.0,0.0,0.0,0.0,0.0
office31,10,0,Auto_wo_nll,webcam,amazon,0.0,0.0,0.0,0.0,0.0
office31,10,0,Auto_wo_nll,webcam,dslr,0.0,0.0,0.0,0.0,0.0
office31,10,0,Auto_wo_ood,amazon,dslr,0.76,7.58,6.21,1.69,1.68
office31,10,0,Auto_wo_ood,amazon,webcam,0.46,6.24,5.37,1.35,1.36
office31,10,0,Auto_wo_ood,dslr,amazon,0.01,0.06,0.04,0.0,0.0
office31,10,0,Auto_wo_ood,dslr,webcam,0.0,0.0,0.0,0.01,0.01
office31,10,0,Auto_wo_ood,webcam,amazon,0.36,2.78,1.81,0.52,0.52
office31,10,0,Auto_wo_ood,webcam,dslr,0.58,4.61,3.36,0.85,0.84
officehome,15,0,SO,Art,Clipart,0.1,0.09,0.06,0.08,0.06
officehome,15,0,SO,Art,Product,0.17,0.05,0.04,0.08,0.07
officehome,15,0,SO,Art,RealWorld,0.31,0.14,0.09,0.06,0.02
officehome,15,0,SO,Clipart,Art,0.2,0.12,0.07,0.05,0.05
officehome,15,0,SO,Clipart,Product,0.09,0.21,0.14,0.15,0.15
officehome,15,0,SO,Clipart,RealWorld,0.13,0.08,0.05,0.14,0.18
officehome,15,0,SO,Product,Art,0.32,0.28,0.17,0.06,0.26
officehome,15,0,SO,Product,Clipart,0.13,0.06,0.04,0.04,0.13
officehome,15,0,SO,Product,RealWorld,0.41,0.21,0.14,0.06,0.07
officehome,15,0,SO,RealWorld,Art,0.19,0.09,0.05,0.06,0.04
officehome,15,0,SO,RealWorld,Clipart,0.05,0.02,0.02,0.07,0.16
officehome,15,0,SO,RealWorld,Product,0.1,0.08,0.06,0.01,0.07
officehome,15,0,DANCE,Art,Clipart,0.08,0.04,0.02,0.04,0.04
officehome,15,0,DANCE,Art,Product,0.04,0.04,0.02,0.04,0.22
officehome,15,0,DANCE,Art,RealWorld,0.23,0.1,0.06,0.04,0.08
officehome,15,0,DANCE,Clipart,Art,0.13,0.1,0.06,0.06,0.09
officehome,15,0,DANCE,Clipart,Product,0.28,0.17,0.12,0.02,0.05
officehome,15,0,DANCE,Clipart,RealWorld,0.08,0.09,0.06,0.04,0.1
officehome,15,0,DANCE,Product,Art,0.04,0.06,0.04,0.02,0.02
officehome,15,0,DANCE,Product,Clipart,0.18,0.14,0.09,0.01,0.19
officehome,15,0,DANCE,Product,RealWorld,0.24,0.16,0.11,0.07,0.28
officehome,15,0,DANCE,RealWorld,Art,0.04,0.04,0.02,0.11,0.21
officehome,15,0,DANCE,RealWorld,Clipart,0.08,0.05,0.03,0.03,0.1
officehome,15,0,DANCE,RealWorld,Product,0.09,0.25,0.17,0.02,0.05
officehome,15,0,OVANet,Art,Clipart,0.27,0.21,0.13,0.17,0.18
officehome,15,0,OVANet,Art,Product,0.58,0.43,0.3,0.07,0.06
officehome,15,0,OVANet,Art,RealWorld,0.41,0.27,0.18,0.14,0.15
officehome,15,0,OVANet,Clipart,Art,0.8,0.41,0.24,0.08,0.1
officehome,15,0,OVANet,Clipart,Product,0.55,0.45,0.31,0.2,0.2
officehome,15,0,OVANet,Clipart,RealWorld,0.15,0.11,0.07,0.16,0.26
officehome,15,0,OVANet,Product,Art,0.71,0.7,0.49,0.13,0.23
officehome,15,0,OVANet,Product,Clipart,0.51,0.53,0.4,0.04,0.06
officehome,15,0,OVANet,Product,RealWorld,0.29,0.22,0.15,0.07,0.07
officehome,15,0,OVANet,RealWorld,Art,0.27,0.17,0.1,0.12,0.22
officehome,15,0,OVANet,RealWorld,Clipart,0.28,0.2,0.13,0.09,0.1
officehome,15,0,OVANet,RealWorld,Product,0.26,0.49,0.33,0.26,0.34
officehome,15,0,UniOT,Art,Clipart,0.62,0.27,0.38,0.29,0.54
officehome,15,0,UniOT,Art,Product,1.33,0.95,0.54,0.85,2.05
officehome,15,0,UniOT,Art,RealWorld,1.02,0.58,0.24,0.19,0.51
officehome,15,0,UniOT,Clipart,Art,1.0,0.52,0.8,0.05,0.88
officehome,15,0,UniOT,Clipart,Product,0.88,0.97,0.64,0.48,0.34
