dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
office31,10,0,SO,amazon,dslr,96.3,95.4,94.9,98.52,95.54
office31,10,0,SO,amazon,webcam,94.34,93.49,93.11,97.83,94.09
office31,10,0,SO,dslr,amazon,85.02,88.88,84.83,95.66,84.6
office31,10,0,SO,dslr,webcam,98.6,93.46,93.09,99.82,99.48
office31,10,0,SO,webcam,amazon,88.22,90.11,85.57,95.2,89.88
office31,10,0,SO,webcam,dslr,98.71,92.37,92.87,99.96,99.96
office31,10,0,DANCE,amazon,dslr,96.36,96.5,95.62,99.78,97.23
office31,10,0,DANCE,amazon,webcam,95.27,96.13,94.84,98.77,95.83
office31,10,0,DANCE,dslr,amazon,85.68,89.95,85.47,96.83,86.24
office31,10,0,DANCE,dslr,webcam,99.63,97.92,96.0,99.71,99.71
office31,10,0,DANCE,webcam,amazon,86.04,90.76,85.96,96.48,86.52
office31,10,0,DANCE,webcam,dslr,99.75,98.61,96.99,99.94,99.94
office31,10,0,OVANet,amazon,dslr,94.83,88.37,90.07,95.96,93.18
office31,10,0,OVANet,amazon,webcam,90.08,92.18,92.24,97.29,93.55
office31,10,0,OVANet,dslr,amazon,74.32,83.36,81.38,94.37,83.22
office31,10,0,OVANet,dslr,webcam,94.9,94.15,93.55,98.21,97.97
office31,10,0,OVANet,webcam,amazon,77.95,85.06,82.46,93.85,88.57
office31,10,0,OVANet,webcam,dslr,98.23,89.07,90.59,98.68,98.66
office31,10,0,UniOT,amazon,dslr,88.52,92.97,92.52,98.45,96.74
office31,10,0,UniOT,amazon,webcam,91.87,94.82,94.19,98.03,94.86
office31,10,0,UniOT,dslr,amazon,84.76,90.52,84.88,96.06,90.98
office31,10,0,UniOT,dslr,webcam,97.36,97.97,96.83,99.54,99.08
office31,10,0,UniOT,webcam,amazon,85.63,90.96,85.51,96.3,91.39
office31,10,0,UniOT,webcam,dslr,99.98,99.9,97.49,100.0,100.0
officehome,15,0,SO,Art,Clipart,76.02,74.9,75.67,86.96,71.4
officehome,15,0,SO,Art,Product,88.7,85.61,86.88,93.45,90.81
officehome,15,0,SO,Art,RealWorld,91.23,87.6,86.95,95.84,93.32
officehome,15,0,SO,Clipart,Art,74.2,82.45,81.47,91.95,83.73
officehome,15,0,SO,Clipart,Product,83.18,86.13,87.24,93.21,89.93
officehome,15,0,SO,Clipart,RealWorld,81.28,86.4,86.16,94.56,89.52
officehome,15,0,SO,Product,Art,66.58,76.33,77.38,89.22,77.62
officehome,15,0,SO,Product,Clipart,65.1,71.41,73.25,83.43,67.28
officehome,15,0,SO,Product,RealWorld,82.21,83.55,84.25,91.89,88.04
officehome,15,0,SO,RealWorld,Art,82.74,83.04,81.86,91.28,84.91
officehome,15,0,SO,RealWorld,Clipart,76.55,77.68,77.53,88.26,74.81
officehome,15,0,SO,RealWorld,Product,95.59,85.98,87.13,95.56,94.45
officehome,15,0,DANCE,Art,Clipart,72.13,78.61,78.14,89.65,78.01
officehome,15,0,DANCE,Art,Product,77.87,81.8,84.22,89.02,82.09
officehome,15,0,DANCE,Art,RealWorld,90.03,89.25,88.02,95.76,92.71
officehome,15,0,DANCE,Clipart,Art,73.03,82.14,81.27,91.88,81.39
officehome,15,0,DANCE,Clipart,Product,82.38,88.13,88.59,93.26,87.58
officehome,15,0,DANCE,Clipart,RealWorld,80.93,87.27,86.73,95.43,89.31
officehome,15,0,DANCE,Product,Art,56.51,69.35,72.45,86.78,66.1
officehome,15,0,DANCE,Product,Clipart,58.88,70.36,72.51,86.13,67.3
officehome,15,0,DANCE,Product,RealWorld,78.87,83.09,83.93,91.81,83.99
officehome,15,0,DANCE,RealWorld,Art,80.19,84.47,82.77,92.46,84.73
officehome,15,0,DANCE,RealWorld,Clipart,70.7,77.83,77.63,88.19,76.47
officehome,15,0,DANCE,RealWorld,Product,94.57,90.9,90.44,95.47,94.86
officehome,15,0,OVANet,Art,Clipart,63.85,73.36,74.61,81.34,67.01
officehome,15,0,OVANet,Art,Product,90.19,82.65,84.83,91.17,88.64
officehome,15,0,OVANet,Art,RealWorld,92.68,81.65,82.95,94.76,92.25
officehome,15,0,OVANet,Clipart,Art,81.79,74.49,76.11,87.87,79.75
officehome,15,0,OVANet,Clipart,Product,88.92,77.98,81.48,89.87,86.79
officehome,15,0,OVANet,Clipart,RealWorld,90.59,71.38,75.58,92.95,87.95
officehome,15,0,OVANet,Product,Art,68.34,77.13,77.93,87.65,76.09
