dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
office31,10,0,SO,amazon,dslr,0.03,0.19,0.12,0.12,0.42
office31,10,0,SO,amazon,webcam,0.14,0.03,0.02,0.11,0.34
office31,10,0,SO,dslr,amazon,0.47,0.21,0.13,0.23,0.12
office31,10,0,SO,dslr,webcam,0.1,0.71,0.47,0.03,0.03
office31,10,0,SO,webcam,amazon,0.23,0.29,0.17,0.15,0.22
office31,10,0,SO,webcam,dslr,0.13,0.82,0.55,0.0,0.0
office31,10,0,DANCE,amazon,dslr,0.03,0.14,0.09,0.02,0.02
office31,10,0,DANCE,amazon,webcam,0.04,0.21,0.14,0.1,0.48
office31,10,0,DANCE,dslr,amazon,0.64,0.61,0.37,0.16,1.26
office31,10,0,DANCE,dslr,webcam,0.11,0.64,0.41,0.34,0.34
office31,10,0,DANCE,webcam,amazon,0.46,0.46,0.28,0.29,1.07
office31,10,0,DANCE,webcam,dslr,0.14,0.8,0.52,0.08,0.09
office31,10,0,OVANet,amazon,dslr,0.79,5.41,3.8,1.62,1.39
office31,10,0,OVANet,amazon,webcam,0.88,0.39,0.26,0.14,0.41
office31,10,0,OVANet,dslr,amazon,3.1,2.25,1.42,0.61,0.74
office31,10,0,OVANet,dslr,webcam,0.77,1.29,0.85,0.85,1.0
office31,10,0,OVANet,webcam,amazon,2.89,2.35,1.47,1.36,1.37
office31,10,0,OVANet,webcam,dslr,0.6,4.13,2.86,0.34,0.34
office31,10,0,UniOT,amazon,dslr,4.3,2.72,1.89,0.97,2.16
office31,10,0,UniOT,amazon,webcam,2.16,1.3,0.7,0.4,0.71
office31,10,0,UniOT,dslr,amazon,0.86,0.62,0.73,1.2,2.56
office31,10,0,UniOT,dslr,webcam,0.66,0.41,0.14,0.08,0.37
office31,10,0,UniOT,webcam,amazon,0.91,0.59,0.96,0.64,1.31
office31,10,0,UniOT,webcam,dslr,0.03,0.14,0.29,0.0,0.0
officehome,15,0,SO,Art,Clipart,0.17,0.17,0.12,0.13,0.28
officehome,15,0,SO,Art,Product,0.2,0.19,0.13,0.07,0.07
officehome,15,0,SO,Art,RealWorld,0.03,0.12,0.08,0.02,0.13
officehome,15,0,SO,Clipart,Art,0.24,0.19,0.12,0.04,0.09
officehome,15,0,SO,Clipart,Product,0.08,0.09,0.06,0.01,0.05
officehome,15,0,SO,Clipart,RealWorld,0.19,0.12,0.08,0.02,0.06
officehome,15,0,SO,Product,Art,0.47,0.39,0.27,0.28,0.3
officehome,15,0,SO,Product,Clipart,0.09,0.16,0.11,0.31,0.16
officehome,15,0,SO,Product,RealWorld,0.22,0.18,0.12,0.28,0.47
officehome,15,0,SO,RealWorld,Art,0.46,0.39,0.25,0.13,0.29
officehome,15,0,SO,RealWorld,Clipart,0.15,0.14,0.09,0.1,0.03
officehome,15,0,SO,RealWorld,Product,0.09,0.16,0.11,0.03,0.17
officehome,15,0,DANCE,Art,Clipart,0.18,0.67,0.44,0.8,0.76
officehome,15,0,DANCE,Art,Product,0.26,0.17,0.12,0.18,0.33
officehome,15,0,DANCE,Art,RealWorld,0.49,0.32,0.2,0.36,0.23
officehome,15,0,DANCE,Clipart,Art,0.34,0.23,0.15,0.03,0.14
officehome,15,0,DANCE,Clipart,Product,0.73,0.53,0.36,0.51,0.48
officehome,15,0,DANCE,Clipart,RealWorld,0.13,0.06,0.04,0.02,0.07
officehome,15,0,DANCE,Product,Art,1.22,1.04,0.75,0.3,0.29
officehome,15,0,DANCE,Product,Clipart,1.14,0.8,0.56,1.21,0.93
officehome,15,0,DANCE,Product,RealWorld,0.27,0.15,0.1,0.4,0.25
officehome,15,0,DANCE,RealWorld,Art,0.28,0.09,0.06,0.5,1.35
officehome,15,0,DANCE,RealWorld,Clipart,0.21,0.15,0.1,0.13,0.51
officehome,15,0,DANCE,RealWorld,Product,0.1,0.26,0.17,0.13,0.1
officehome,15,0,OVANet,Art,Clipart,0.23,0.11,0.07,0.15,0.23
officehome,15,0,OVANet,Art,Product,0.26,0.11,0.08,0.07,0.14
officehome,15,0,OVANet,Art,RealWorld,0.38,0.47,0.33,0.11,0.2
officehome,15,0,OVANet,Clipart,Art,0.29,0.3,0.21,0.28,0.16
