dataset,n_share,n_source_private,method,OA,AA,Closed-set OA,Closed-set AA
office31,10,21,SO,88.62,89.79,96.99,97.25
office31,10,21,DANCE,63.46,66.83,81.1,82.85
office31,10,21,OVANet,86.81,87.53,96.84,97.13
office31,10,21,UniOT,38.41,41.31,55.94,59.28
office31,10,21,ClipCrossModel,91.52,92.55,97.58,97.79
office31,10,21,ClipZeroShot,90.17,90.41,96.61,96.84
office31,10,21,UB2DA,6.24,6.4,96.61,96.84
office31,10,21,debug,54.26,55.59,96.61,96.84
office31,10,21,debug0.3,94.28,94.98,96.61,96.84
office31,10,21,WiSE-FT,51.73,53.57,97.57,97.74
officehome,25,40,SO,59.09,58.31,84.44,83.31
officehome,25,40,DANCE,43.6,46.63,75.63,77.09
officehome,25,40,OVANet,66.6,65.92,84.37,83.25
officehome,25,40,UniOT,36.56,43.6,63.61,67.47
officehome,25,40,ClipCrossModel,63.88,63.14,87.97,86.86
officehome,25,40,ClipZeroShot,54.72,56.72,89.43,88.48
officehome,25,40,UB2DA,3.23,3.69,89.53,88.59
officehome,25,40,debug,36.58,38.57,89.64,88.74
officehome,25,40,debug0.3,79.44,79.03,89.9,88.98
officehome,25,40,WiSE-FT,15.99,16.56,88.44,87.43
visda,6,6,SO,48.09,57.19,79.51,84.01
visda,6,6,DANCE,38.58,49.5,56.4,68.69
visda,6,6,OVANet,35.89,42.58,79.58,84.1
visda,6,6,UniOT,52.88,62.03,74.78,80.85
visda,6,6,ClipCrossModel,58.88,67.98,83.76,88.22
visda,6,6,ClipZeroShot,65.31,71.32,88.1,92.42
visda,6,6,UB2DA,2.1,3.27,88.12,92.45
visda,6,6,debug,32.85,40.21,88.12,92.45
visda,6,6,debug0.3,73.29,81.07,88.74,93.05
visda,6,6,WiSE-FT,21.56,27.4,84.43,88.81
