dataset,n_share,n_source_private,method,source,target,OA,AA,Closed-set OA,Closed-set AA
office31,10,21,SO,amazon,dslr,90.66,91.71,97.03,96.89
office31,10,21,SO,amazon,webcam,85.76,88.29,93.56,95.18
office31,10,21,SO,dslr,amazon,80.72,80.88,86.95,87.24
office31,10,21,SO,dslr,webcam,99.32,99.53,99.44,99.61
office31,10,21,SO,webcam,amazon,82.39,82.58,90.54,90.66
office31,10,21,SO,webcam,dslr,100.0,100.0,100.0,100.0
office31,10,21,DANCE,amazon,dslr,63.27,70.75,79.83,85.34
office31,10,21,DANCE,amazon,webcam,75.37,79.7,87.34,90.42
office31,10,21,DANCE,dslr,amazon,65.14,65.66,71.75,72.25
office31,10,21,DANCE,dslr,webcam,100.0,100.0,100.0,100.0
office31,10,21,DANCE,webcam,amazon,65.31,65.83,72.3,72.81
office31,10,21,DANCE,webcam,dslr,100.0,100.0,100.0,100.0
office31,10,21,OVANet,amazon,dslr,94.9,95.5,97.03,96.89
office31,10,21,OVANet,amazon,webcam,91.98,93.82,93.79,95.33
office31,10,21,OVANet,dslr,amazon,82.32,82.73,87.09,87.38
office31,10,21,OVANet,dslr,webcam,96.72,97.49,99.44,99.61
office31,10,21,OVANet,webcam,amazon,82.25,82.6,90.5,90.63
office31,10,21,OVANet,webcam,dslr,100.0,100.0,100.0,100.0
office31,10,21,UniOT,amazon,dslr,32.06,37.2,49.04,57.4
office31,10,21,UniOT,amazon,webcam,35.48,36.71,50.85,52.47
office31,10,21,UniOT,dslr,amazon,40.4,40.67,61.93,62.25
office31,10,21,UniOT,dslr,webcam,40.79,43.64,66.1,68.55
office31,10,21,UniOT,webcam,amazon,38.94,39.16,60.65,60.9
office31,10,21,UniOT,webcam,dslr,36.31,48.85,70.49,77.46
office31,10,21,ClipDistill,amazon,dslr,94.27,95.05,95.54,95.92
office31,10,21,ClipDistill,amazon,webcam,94.01,94.88,97.63,97.87
office31,10,21,ClipDistill,dslr,amazon,95.72,95.81,96.66,96.72
office31,10,21,ClipDistill,dslr,webcam,94.01,94.88,97.63,97.87
office31,10,21,ClipDistill,webcam,amazon,95.72,95.81,96.66,96.72
office31,10,21,ClipDistill,webcam,dslr,94.27,95.05,95.54,95.92
office31,10,21,AutoDistill,amazon,dslr,81.53,84.48,97.03,96.89
office31,10,21,AutoDistill,amazon,webcam,75.48,79.66,93.56,95.18
office31,10,21,AutoDistill,dslr,amazon,62.6,62.63,86.99,87.28
office31,10,21,AutoDistill,dslr,webcam,91.53,92.66,99.44,99.61
office31,10,21,AutoDistill,webcam,amazon,62.8,63.2,90.47,90.6
office31,10,21,AutoDistill,webcam,dslr,100.0,100.0,100.0,100.0
officehome,25,40,SO,Art,Clipart,58.97,61.02,75.88,75.9
officehome,25,40,SO,Art,Product,72.83,74.29,88.85,88.58
officehome,25,40,SO,Art,RealWorld,80.1,79.21,91.2,90.31
officehome,25,40,SO,Clipart,Art,50.72,50.62,80.44,77.65
officehome,25,40,SO,Clipart,Product,62.35,61.51,80.04,79.48
officehome,25,40,SO,Clipart,RealWorld,62.6,62.24,84.58,83.3
officehome,25,40,SO,Product,Art,46.77,49.47,76.55,74.89
officehome,25,40,SO,Product,Clipart,48.34,50.7,67.72,69.31
officehome,25,40,SO,Product,RealWorld,70.84,70.06,85.86,84.58
officehome,25,40,SO,RealWorld,Art,67.8,69.75,85.49,83.2
officehome,25,40,SO,RealWorld,Clipart,61.51,61.87,74.43,74.41
officehome,25,40,SO,RealWorld,Product,81.48,82.23,91.07,90.87
officehome,25,40,DANCE,Art,Clipart,54.71,56.34,73.25,73.47
