dataset,n_share,n_source_private,method,OA,AA,Closed-set OA,Closed-set AA
office31,10,21,SO,89.81,90.5,94.59,94.93
office31,10,21,DANCE,78.18,80.32,85.2,86.8
office31,10,21,OVANet,91.36,92.02,94.64,94.97
office31,10,21,UniOT,37.33,41.04,59.84,63.17
officehome,25,40,SO,63.69,64.41,81.84,81.04
officehome,25,40,DANCE,55.77,57.03,75.76,76.01
officehome,25,40,OVANet,72.24,71.29,81.84,81.01
officehome,25,40,UniOT,32.6,38.55,57.78,61.65
visda,6,6,SO,32.93,38.06,66.93,73.07
visda,6,6,DANCE,21.03,26.49,44.51,51.44
visda,6,6,OVANet,51.01,61.51,66.98,73.1
visda,6,6,UniOT,23.18,29.62,40.67,49.42
